Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
T014-B1BALRNA-PBmiRNA1_S27_R1_001	pass	0.0	warn	76.3473030496	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	37019721.0	pass	warn	warn	47.0	50.5138375853	T014-B1BALRNA-PBmiRNA1_S27_R1_001.merged.trimmed.fq.gz	pass	pass
T014-B2BCGBAL-PBmiRNA1_S3_R1_001	pass	0.0	warn	76.3484081174	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	37982324.0	pass	warn	warn	46.0	54.9005213752	T014-B2BCGBAL-PBmiRNA1_S3_R1_001.merged.trimmed.fq.gz	pass	pass
T014-B2BCGBAL-PLmiRNA2_S4_R1_001	pass	0.0	pass	72.2013493338	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	53605859.0	pass	warn	warn	43.0	77.3000560371	T014-B2BCGBAL-PLmiRNA2_S4_R1_001.merged.trimmed.fq.gz	pass	pass
T014-B2PPDBAL-PBmiRNA1_S1_R1_001	pass	0.0	warn	76.8976379758	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	37081584.0	pass	warn	warn	45.0	56.9490225437	T014-B2PPDBAL-PBmiRNA1_S1_R1_001.merged.trimmed.fq.gz	pass	pass
T014-B2PPDBAL-PLmiRNA2_S2_R1_001	pass	0.0	pass	72.9966630064	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	54687249.0	pass	warn	warn	43.0	76.6673132914	T014-B2PPDBAL-PLmiRNA2_S2_R1_001.merged.trimmed.fq.gz	pass	pass
T014-B2SalBAL-PBmiRNA_S29_R1_001	pass	0.0	pass	75.648274569	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	41553879.0	pass	warn	warn	43.0	71.6442300503	T014-B2SalBAL-PBmiRNA_S29_R1_001.merged.trimmed.fq.gz	pass	pass
T015-B1BALCells-PBmiRNA_S18_R1_001	pass	0.0	warn	78.3080256835	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	39871383.0	pass	warn	warn	45.0	61.2974918677	T015-B1BALCells-PBmiRNA_S18_R1_001.merged.trimmed.fq.gz	pass	pass
T015-B2BCGBAL-PBmiRNA_S22_R1_001	pass	0.0	pass	78.3863342542	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	35534043.0	pass	warn	warn	43.0	70.7049724768	T015-B2BCGBAL-PBmiRNA_S22_R1_001.merged.trimmed.fq.gz	pass	pass
T015-B2PPDBAL-PBmiRNA_S21_R1_001	pass	0.0	warn	74.3859585181	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	50555889.0	pass	warn	warn	44.0	62.0565917384	T015-B2PPDBAL-PBmiRNA_S21_R1_001.merged.trimmed.fq.gz	pass	pass
T015-B2SalBAL-PBmiRNA1_S19_R1_001	pass	0.0	warn	80.3278893838	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	21090509.0	pass	warn	warn	46.0	60.6915563486	T015-B2SalBAL-PBmiRNA1_S19_R1_001.merged.trimmed.fq.gz	pass	pass
T015-B2SalBAL-PLmiRNA2_S20_R1_001	pass	0.0	fail	77.1056053071	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	39594298.0	pass	warn	fail	47.0	47.7210351454	T015-B2SalBAL-PLmiRNA2_S20_R1_001.merged.trimmed.fq.gz	pass	pass
T016-B1BALCells-PBmiRNA_S16_R1_001	pass	0.0	warn	76.4992727849	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	31773268.0	pass	warn	warn	45.0	66.4836563261	T016-B1BALCells-PBmiRNA_S16_R1_001.merged.trimmed.fq.gz	pass	pass
T016-B2BCGBAL-PBmiRNA1_S17_R1_001	pass	0.0	warn	78.4582001298	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	30235369.0	pass	warn	warn	46.0	59.019370565	T016-B2BCGBAL-PBmiRNA1_S17_R1_001.merged.trimmed.fq.gz	pass	pass
T016-B2BCGBAL-PBmiRNA2_S18_R1_001	pass	0.0	warn	81.0200544407	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	26474685.0	pass	warn	warn	44.0	67.253627602	T016-B2BCGBAL-PBmiRNA2_S18_R1_001.merged.trimmed.fq.gz	pass	pass
T016-B2PPDBAL-PBmiRNA_S19_R1_001	pass	0.0	warn	77.4179075646	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	34590946.0	pass	warn	warn	45.0	63.7880891712	T016-B2PPDBAL-PBmiRNA_S19_R1_001.merged.trimmed.fq.gz	pass	pass
T021-B1BALCells-PLmiRNA_S3_R1_001	pass	0.0	warn	80.7354762731	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	22116689.0	pass	warn	warn	43.0	65.9511836848	T021-B1BALCells-PLmiRNA_S3_R1_001.merged.trimmed.fq.gz	pass	pass
T021-B2Sal2BAL-PLmiRNA_S20_R1_001	pass	0.0	warn	79.4730633671	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	19924001.0	pass	warn	warn	46.0	55.1150174931	T021-B2Sal2BAL-PLmiRNA_S20_R1_001.merged.trimmed.fq.gz	pass	pass
T021-B2Sal3BAL-PLmiRNA_S21_R1_001	pass	0.0	fail	80.0482671402	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	20859160.0	pass	warn	warn	47.0	40.9091040331	T021-B2Sal3BAL-PLmiRNA_S21_R1_001.merged.trimmed.fq.gz	pass	pass
T023-B1BALCells-PBmiRNA_S10_R1_001	pass	0.0	warn	79.0000521389	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	35021832.0	pass	warn	warn	45.0	63.0039211983	T023-B1BALCells-PBmiRNA_S10_R1_001.merged.trimmed.fq.gz	pass	pass
T023-B2BCGBAL-PBmiRNA_S12_R1_001	pass	0.0	warn	80.1562073373	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	22033280.0	pass	warn	warn	46.0	57.461598902	T023-B2BCGBAL-PBmiRNA_S12_R1_001.merged.trimmed.fq.gz	pass	pass
T023-B2PPDBAL-PBmiRNA_S11_R1_001	pass	0.0	warn	81.4258089855	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	21774308.0	pass	warn	warn	44.0	64.8673354596	T023-B2PPDBAL-PBmiRNA_S11_R1_001.merged.trimmed.fq.gz	pass	pass
T023-B2SalBAL-PBmiRNA_S8_R1_001	pass	0.0	warn	79.9375165498	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	25408104.0	pass	warn	warn	47.0	52.1158756906	T023-B2SalBAL-PBmiRNA_S8_R1_001.merged.trimmed.fq.gz	pass	pass
T025-B1BALRNA-PBmiRNA_S10_R1_001	pass	0.0	warn	81.36038901	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	28428267.0	pass	warn	warn	44.0	65.9163342208	T025-B1BALRNA-PBmiRNA_S10_R1_001.merged.trimmed.fq.gz	pass	pass
T025-B2BCGBAL-PBmiRNA_S14_R1_001	pass	0.0	warn	81.2380298223	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	32160592.0	pass	warn	warn	45.0	59.6501298375	T025-B2BCGBAL-PBmiRNA_S14_R1_001.merged.trimmed.fq.gz	pass	pass
T025-B2PPDBAL-PBmiRNA1_S12_R1_001	pass	0.0	warn	76.6553580836	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	45390184.0	pass	warn	warn	44.0	67.6415339586	T025-B2PPDBAL-PBmiRNA1_S12_R1_001.merged.trimmed.fq.gz	pass	pass
T025-B2PPDBAL-PLmiRNA2_S13_R1_001	pass	0.0	pass	71.276553418	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	55371751.0	pass	warn	warn	43.0	77.3071371658	T025-B2PPDBAL-PLmiRNA2_S13_R1_001.merged.trimmed.fq.gz	pass	pass
T025-B2SalBAL-PBmiRNA_S11_R1_001	pass	0.0	warn	80.1702161286	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29611765.0	pass	warn	warn	45.0	60.5387490833	T025-B2SalBAL-PBmiRNA_S11_R1_001.merged.trimmed.fq.gz	pass	pass
T026-B1BALCells-PBmiRNA_S13_R1_001	pass	0.0	warn	80.3277206924	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29889257.0	pass	warn	warn	45.0	61.0138481841	T026-B1BALCells-PBmiRNA_S13_R1_001.merged.trimmed.fq.gz	pass	pass
T026-B2BCGBAL-PBmiRNA_S17_R1_001	pass	0.0	warn	80.8572951513	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	24242554.0	pass	warn	warn	46.0	57.1628748635	T026-B2BCGBAL-PBmiRNA_S17_R1_001.merged.trimmed.fq.gz	pass	pass
T026-B2PPDBAL-PBmiRNA1_S15_R1_001	pass	0.0	warn	79.7384686219	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29961705.0	pass	warn	warn	45.0	60.8693155332	T026-B2PPDBAL-PBmiRNA1_S15_R1_001.merged.trimmed.fq.gz	pass	pass
T026-B2PPDBAL-PLmiRNA2_S16_R1_001	pass	0.0	pass	76.4583061189	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	44643925.0	pass	warn	warn	43.0	79.2764315957	T026-B2PPDBAL-PLmiRNA2_S16_R1_001.merged.trimmed.fq.gz	pass	pass
T026-B2SalBAL-PBmiRNA_S14_R1_001	pass	0.0	warn	81.073889747	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	24753908.0	pass	warn	warn	43.0	67.1450248782	T026-B2SalBAL-PBmiRNA_S14_R1_001.merged.trimmed.fq.gz	pass	pass
T028-B1BAL-PBmiRNA_S23_R1_001	pass	0.0	warn	79.9255238422	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	32655256.0	pass	warn	warn	46.0	61.6681241241	T028-B1BAL-PBmiRNA_S23_R1_001.merged.trimmed.fq.gz	pass	pass
T028-B2BCGBAL-PBmiRNA_S26_R1_001	pass	0.0	pass	76.3357167562	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	43658780.0	pass	warn	warn	44.0	70.046218826	T028-B2BCGBAL-PBmiRNA_S26_R1_001.merged.trimmed.fq.gz	pass	pass
T028-B2PPDBAL-PBmiRNA_S25_R1_001	pass	0.0	warn	75.5552121753	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	47610323.0	pass	warn	warn	45.0	67.284201848	T028-B2PPDBAL-PBmiRNA_S25_R1_001.merged.trimmed.fq.gz	pass	pass
T028-B2SalBAL-PBmiRNA_S24_R1_001	pass	0.0	warn	78.6631620821	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	36455676.0	pass	warn	warn	46.0	57.0127484594	T028-B2SalBAL-PBmiRNA_S24_R1_001.merged.trimmed.fq.gz	pass	pass
T030-B1BALRNA-PBmiRNA_S5_R1_001	pass	0.0	warn	73.5914761264	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	42589604.0	pass	warn	warn	46.0	60.5691337219	T030-B1BALRNA-PBmiRNA_S5_R1_001.merged.trimmed.fq.gz	pass	pass
T031-B1BALRNA-PBmiRNA_S6_R1_001	pass	0.0	pass	79.2571405748	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	31046275.0	pass	warn	warn	44.0	71.6796741411	T031-B1BALRNA-PBmiRNA_S6_R1_001.merged.trimmed.fq.gz	pass	pass
T031-B2BCGBAL-PBmiRNA_S9_R1_001	pass	0.0	warn	76.5803243726	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	37465123.0	pass	warn	warn	46.0	59.7195259649	T031-B2BCGBAL-PBmiRNA_S9_R1_001.merged.trimmed.fq.gz	pass	pass
T031-B2PPDBAL-PBmiRNA_S8_R1_001	pass	0.0	warn	76.5749962676	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	42968665.0	pass	warn	warn	44.0	67.0801707388	T031-B2PPDBAL-PBmiRNA_S8_R1_001.merged.trimmed.fq.gz	pass	pass
T031-B2SalBAL-PBmiRNA_S7_R1_001	pass	0.0	pass	79.4360318266	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	31085779.0	pass	warn	warn	43.0	72.5957949067	T031-B2SalBAL-PBmiRNA_S7_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B1BALRNA-PBmiRNA_S23_R1_001	pass	0.0	warn	78.0611503254	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	32333859.0	pass	warn	warn	46.0	59.2552777627	T032-B1BALRNA-PBmiRNA_S23_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B2BCGBAL-PBmiRNA1_S28_R1_001	pass	0.0	warn	77.556082513	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	41627646.0	pass	warn	warn	45.0	59.9437008419	T032-B2BCGBAL-PBmiRNA1_S28_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B2BCGBAL-PLmiRNA2_S29_R1_001	pass	0.0	pass	78.6074436017	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	38043680.0	pass	warn	warn	43.0	75.6911126185	T032-B2BCGBAL-PLmiRNA2_S29_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B2PPDBAL-PBmiRNA1_S25_R1_001	pass	0.0	warn	77.1903497728	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	41004672.0	pass	warn	warn	45.0	62.7414547147	T032-B2PPDBAL-PBmiRNA1_S25_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B2PPDBAL-PLmiRNA2_S26_R1_001	pass	0.0	warn	80.2537798686	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	29553739.0	pass	warn	warn	44.0	64.7160273325	T032-B2PPDBAL-PLmiRNA2_S26_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B2PPDBAL-PLmiRNA3_S27_R1_001	pass	0.0	warn	77.650463735	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	39226173.0	pass	warn	warn	46.0	53.7698170475	T032-B2PPDBAL-PLmiRNA3_S27_R1_001.merged.trimmed.fq.gz	pass	pass
T032-B2SalBAL-PBmiRNA_S24_R1_001	pass	0.0	warn	77.2862112806	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	40032608.0	pass	warn	warn	45.0	62.1607526692	T032-B2SalBAL-PBmiRNA_S24_R1_001.merged.trimmed.fq.gz	pass	pass
T033-B1BALRNA-PBmiRNA1_S15_R1_001	pass	0.0	warn	79.2778369694	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	33222609.0	pass	warn	warn	46.0	54.8349727388	T033-B1BALRNA-PBmiRNA1_S15_R1_001.merged.trimmed.fq.gz	pass	pass
T033-B1BALRNA-PLmiRNA2_S16_R1_001	pass	0.0	warn	78.6868730559	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	34397305.0	pass	warn	warn	45.0	64.1843105545	T033-B1BALRNA-PLmiRNA2_S16_R1_001.merged.trimmed.fq.gz	pass	pass
T033-B2BCGBAL-PBmiRNA1_S20_R1_001	pass	0.0	warn	76.7381668068	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	34753806.0	pass	warn	warn	46.0	57.4186215763	T033-B2BCGBAL-PBmiRNA1_S20_R1_001.merged.trimmed.fq.gz	pass	pass
T033-B2BCGBAL-PLmiRNA2_S21_R1_001	pass	0.0	pass	77.8967096712	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	39014824.0	pass	warn	warn	42.0	74.456574208	T033-B2BCGBAL-PLmiRNA2_S21_R1_001.merged.trimmed.fq.gz	pass	pass
T033-B2PPDBAL-PBmiRNA1_S18_R1_001	pass	0.0	warn	77.3651095371	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	40485264.0	pass	warn	warn	44.0	63.0069047627	T033-B2PPDBAL-PBmiRNA1_S18_R1_001.merged.trimmed.fq.gz	pass	pass
T033-B2PPDBAL-PLmiRNA2_S19_R1_001	pass	0.0	pass	72.000629883	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	61957540.0	pass	warn	warn	42.0	82.7005368046	T033-B2PPDBAL-PLmiRNA2_S19_R1_001.merged.trimmed.fq.gz	pass	pass
