Sample	ambiguous	percent_assigned	too_low_aQual	total_count	no_feature	alignment_not_unique	assigned	not_aligned
T025-B1BALRNA-PBmiRNA_S10.Homo_sapiens.HTSeq	703430	32.311370354	0	34241423	13071245	9402875	11063873	0
T025-B2BCGBAL-PBmiRNA_S14.Homo_sapiens.HTSeq	1005837	32.1914376289	0	41831170	11798309	15560969	13466055	0
T025-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens.HTSeq	1163004	24.9430576186	0	56459265	21883328	19330266	14082667	0
T025-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens.HTSeq	869162	20.0160956687	0	65726999	32964734	18737124	13155979	0
T025-B2SalBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	1020606	29.2908342773	0	39724396	10835210	16232973	11635607	0
T026-B1BALCells-PBmiRNA_S13.Homo_sapiens.HTSeq	782394	29.5484974896	0	36489033	14226142	10698536	10781961	0
T026-B2BCGBAL-PBmiRNA_S17.Homo_sapiens.HTSeq	784014	38.0759955409	0	28839850	9529938	7544838	10981060	0
T026-B2PPDBAL-PBmiRNA1_S15.Homo_sapiens.HTSeq	1002988	31.7088590672	0	36352992	13041708	10781177	11527119	0
T026-B2PPDBAL-PLmiRNA2_S16.Homo_sapiens.HTSeq	682653	15.2378180842	0	52283135	30274720	13358953	7966809	0
T026-B2SalBAL-PBmiRNA_S14.Homo_sapiens.HTSeq	430576	28.1022306293	0	28939233	13210621	7165466	8132570	0
T028-B1BAL-PBmiRNA_S23.Homo_sapiens.HTSeq	804994	34.0728733297	0	42772850	11470666	15923251	14573939	0
T028-B2BCGBAL-PBmiRNA_S26.Homo_sapiens.HTSeq	673088	25.2450779284	0	52454336	23114869	15424241	13242138	0
T028-B2PPDBAL-PBmiRNA_S25.Homo_sapiens.HTSeq	1061682	29.4248723393	0	59067512	21253755	19371535	17380540	0
T028-B2SalBAL-PBmiRNA_S24.Homo_sapiens.HTSeq	1020277	38.8810458261	0	45588766	11915784	14927316	17725389	0
T030-B1BALRNA-PBmiRNA_S5.Homo_sapiens.HTSeq	1110389	29.3364890319	0	57032486	15070972	24119796	16731329	0
T031-B1BALRNA-PBmiRNA_S6.Homo_sapiens.HTSeq	571274	24.0479876877	0	38460532	16386786	12253488	9248984	0
T031-B2BCGBAL-PBmiRNA_S9.Homo_sapiens.HTSeq	1080377	29.5871356792	0	50532073	13358096	21142607	14950993	0
T031-B2PPDBAL-PBmiRNA_S8.Homo_sapiens.HTSeq	761445	28.3360458443	0	50568767	22129283	13348850	14329189	0
T031-B2SalBAL-PBmiRNA_S7.Homo_sapiens.HTSeq	478346	24.1709234488	0	36911097	17471760	10039238	8921753	0
T032-B1BALRNA-PBmiRNA_S23.Homo_sapiens.HTSeq	953616	29.0357893996	0	43506346	11445718	18474601	12632411	0
T032-B2BCGBAL-PBmiRNA1_S28.Homo_sapiens.HTSeq	1113488	36.1987409952	0	51480028	14916841	16814577	18635122	0
T032-B2BCGBAL-PLmiRNA2_S29.Homo_sapiens.HTSeq	559609	25.2473166027	0	43318968	22097882	9724600	10936877	0
T032-B2PPDBAL-PBmiRNA1_S25.Homo_sapiens.HTSeq	1082548	36.1462297228	0	50171086	15014515	15939067	18134956	0
T032-B2PPDBAL-PLmiRNA2_S26.Homo_sapiens.HTSeq	701311	29.0702027282	0	37473330	12777613	13100833	10893573	0
T032-B2PPDBAL-PLmiRNA3_S27.Homo_sapiens.HTSeq	1400088	37.337077801	0	51288821	10589070	20149916	19149747	0
T032-B2SalBAL-PBmiRNA_S24.Homo_sapiens.HTSeq	1059663	28.9582105216	0	52797596	15892859	20555835	15289239	0
T033-B1BALRNA-PBmiRNA1_S15.Homo_sapiens.HTSeq	1174802	33.2354755793	0	44327947	10575032	17845509	14732604	0
T033-B1BALRNA-PLmiRNA2_S16.Homo_sapiens.HTSeq	814269	33.0861743907	0	42069285	14504358	12831541	13919117	0
T033-B2BCGBAL-PBmiRNA1_S20.Homo_sapiens.HTSeq	1282095	29.9993953167	0	46768286	11735530	19720458	14030203	0
T033-B2BCGBAL-PLmiRNA2_S21.Homo_sapiens.HTSeq	694154	24.7876639	0	45122332	22238203	11005203	11184772	0
T033-B2PPDBAL-PBmiRNA1_S18.Homo_sapiens.HTSeq	1198433	27.8358967759	0	52619149	16283947	20489757	14647012	0
T033-B2PPDBAL-PLmiRNA2_S19.Homo_sapiens.HTSeq	641185	12.9070335048	0	71282584	43963964	17476968	9200467	0
T033-B2SalBAL-PBmiRNA_S17.Homo_sapiens.HTSeq	1338562	38.1878175688	0	48895905	9626142	19258922	18672279	0
T034-B-SingleRNABAL-miRNA_S22.Homo_sapiens.HTSeq	764265	31.3275730069	0	41076144	14695311	12748409	12868159	0
T035-B1BALRNA-PBmiRNA_S6.Homo_sapiens.HTSeq	751943	24.0359573346	0	41573938	11953063	18876238	9992694	0
T035-B2BCGBAL-PBmiRNA_S3.Homo_sapiens.HTSeq	413107	14.3122970423	0	65919209	41725026	14346523	9434553	0
T035-B2PPDBAL-PBmiRNA_S2.Homo_sapiens.HTSeq	885909	36.0353045486	0	32043803	6452060	13158752	11547082	0
T035-B2SalBAL-PBmiRNA_S1.Homo_sapiens.HTSeq	392252	25.577295657	0	31939440	14280172	9097771	8169245	0
T036-B1BALRNA-PBmiRNA_S7.Homo_sapiens.HTSeq	1031896	37.4065958498	0	38339169	9253181	13712714	14341378	0
T036-B2S1BAL-PBmiRNA1_S1.Homo_sapiens.HTSeq	1104741	36.6088605687	0	41249858	10023722	15020292	15101103	0
T036-B2S2BAL-PBmiRNA2_S8.Homo_sapiens.HTSeq	650534	28.8037830565	0	35361671	10549553	13976085	10185499	0
T036-B2S3BAL-PBmiRNA3_S9.Homo_sapiens.HTSeq	504491	27.7775010493	0	34911877	16203853	8505886	9697647	0
T038-B1BALRNA-PBmiRNA_S25.Homo_sapiens.HTSeq	839337	33.1784876584	0	36866168	9831161	13964033	12231637	0
T038-B2BCGBAL-PLmiRNA_S28.Homo_sapiens.HTSeq	1080911	31.3907779519	0	32808005	4043907	17384499	10298688	0
T038-B2PPDBAL-PBmiRNA_S27.Homo_sapiens.HTSeq	554168	26.7785960853	0	35152093	15146668	10038020	9413237	0
T038-B2SalBAL-PBmiRNA_S26.Homo_sapiens.HTSeq	237534	11.5759570557	0	39148167	24952166	9426692	4531775	0
T039-B1BALRNA-PBmiRNA_S10.Homo_sapiens.HTSeq	666894	31.0255082202	0	34312782	11850364	11149809	10645715	0
T039-B2BCGBAL-PBmiRNA1_S14.Homo_sapiens.HTSeq	862905	39.092161026	0	35255966	11014969	9595773	13782319	0
T039-B2BCGBAL-PLmiRNA2_S15.Homo_sapiens.HTSeq	316962	14.3448991207	0	48485876	31151741	10061923	6955250	0
T039-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens.HTSeq	898547	28.1182843468	0	45019820	18704291	12758181	12658801	0
T039-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens.HTSeq	486785	12.2415432029	0	59823683	39987668	12025888	7323342	0
T039-B2SalBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	692043	29.7808127818	0	41638605	18884266	9661981	12400315	0
T041-B1BALRNA-PBmiRNA_S22.Homo_sapiens.HTSeq	527660	27.3276416811	0	36947912	17146508	9176751	10096993	0
T041-B2BCGBAL-PBmiRNA_S26.Homo_sapiens.HTSeq	1196073	27.9586697117	0	36652055	9110068	16098487	10247427	0
T041-B2PPDBAL-PBmiRNA1_S24.Homo_sapiens.HTSeq	897308	23.9475462063	0	40453890	15592939	14275929	9687714	0
T041-B2PPDBAL-PLmiRNA2_S25.Homo_sapiens.HTSeq	458258	13.1873568664	0	55897092	37593495	10473990	7371349	0
T041-B2SalBAL-PBmiRNA_S23.Homo_sapiens.HTSeq	448388	15.1692636657	0	53163477	32758137	11892444	8064508	0
T042-B1BALRNA-PBmiRNA_S6.Homo_sapiens.HTSeq	1235317	25.5259411994	0	44409955	11190327	20648252	11336059	0
T042-B2BCGBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	814862	24.2813495923	0	54712729	27351319	13261559	13284989	0
T042-B2PPDBAL-PBmiRNA1_S9.Homo_sapiens.HTSeq	615062	20.4909639378	0	41328290	21161841	11082822	8468565	0
T042-B2PPDBAL-PLmiRNA2_S10.Homo_sapiens.HTSeq	334993	14.4067325573	0	40858293	25573492	9063463	5886345	0
T042-B2SalBAL-PBmiRNA1_S7.Homo_sapiens.HTSeq	636489	23.6210628077	0	46147352	24221715	10388653	10900495	0
T042-B2SalBAL-PLmiRNA2_S8.Homo_sapiens.HTSeq	529799	23.014435512	0	39613420	19218745	10748071	9116805	0
T045-B1BALRNA-PBmiRNA_S16.Homo_sapiens.HTSeq	483089	27.6556469844	0	33678648	14869843	9011668	9314048	0
T046-B1BALRNA-PBmiRNA_S17.Homo_sapiens.HTSeq	1003186	32.4940237488	0	37807146	8620901	15897996	12285063	0
T047-B1BALRNA-PBmiRNA_S18.Homo_sapiens.HTSeq	714346	28.7243819169	0	32967289	9758736	13024557	9469650	0
T047-B2BCGBAL-PBmiRNA_S21.Homo_sapiens.HTSeq	337525	24.9669520821	0	28488179	13111909	7926115	7112630	0
T047-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens.HTSeq	682270	25.4433425888	0	36765755	14372391	12356657	9354437	0
T047-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens.HTSeq	420254	17.8260659626	0	39017504	21844406	9797558	6955286	0
T047-B2SalBAL-PBmiRNA1_S3.Homo_sapiens.HTSeq	1342292	28.2183557014	0	41349376	6665653	21673317	11668114	0
T047-B2SalBAL-PLmiRNA2_S4.Homo_sapiens.HTSeq	1296916	21.9408059222	0	45108972	7015609	26899175	9897272	0
T048-B1BALRNA-PBmiRNA_S22.Homo_sapiens.HTSeq	780239	33.2235035635	0	37079807	12328458	11651899	12319211	0
T048-B2BCGBAL-PBmiRNA_S24.Homo_sapiens.HTSeq	839269	27.0844317315	0	51582692	20862690	15909854	13970879	0
T048-B2PPDBAL-PBmiRNA_S23.Homo_sapiens.HTSeq	711783	26.6821985015	0	42026372	18947808	11153221	11213560	0
T048-B2SalBAL-PBmiRNA_S5.Homo_sapiens.HTSeq	840322	23.9281866233	0	41159964	12005160	18465649	9848833	0
T049-B1BALRNA-PBmiRNA_S2.Homo_sapiens.HTSeq	848272	24.4900849632	0	39433187	6383275	22544419	9657221	0
T050-B1BALRNA-PBmiRNA1_S27.Homo_sapiens.HTSeq	846176	30.5784595146	0	49072181	22392844	10827644	15005517	0
T050-B1BALRNA-PLmiRNA2_S28.Homo_sapiens.HTSeq	374283	25.8788266799	0	38194761	20816433	7119689	9884356	0
T051-B1BALRNA-PBmiRNA_S12.Homo_sapiens.HTSeq	1316197	23.9165404634	0	53560422	14524669	24909756	12809800	0
T051-B2BCGBAL-PBmiRNA_S16.Homo_sapiens.HTSeq	622950	26.9229326316	0	41609141	20306913	9476877	11202401	0
T051-B2PPDBAL-PBmiRNA1_S14.Homo_sapiens.HTSeq	816342	25.6414031434	0	45779983	20108549	13116462	11738630	0
T051-B2PPDBAL-PLmiRNA2_S15.Homo_sapiens.HTSeq	529851	18.4123036937	0	51433010	29774990	11658167	9470002	0
T051-B2SalBAL-PBmiRNA_S13.Homo_sapiens.HTSeq	655624	31.4494563393	0	43649559	20470749	8795637	13727549	0
T052-BALRNA-PBmiRNA1_S4.Homo_sapiens.HTSeq	985556	22.096855095	0	54203736	23987942	17252917	11977321	0
T052-BALRNA-PLmiRNA2_S5.Homo_sapiens.HTSeq	420372	12.2381745509	0	48351631	29192945	12820957	5917357	0
T053-B1BALRNA-PBmiRNA_S29.Homo_sapiens.HTSeq	526988	23.6721219028	0	37111012	17726258	10072802	8784964	0
T054-B1BALRNA-PBmiRNA_S17.Homo_sapiens.HTSeq	702559	27.1357288567	0	47010298	21362712	12188440	12756587	0
T054-B2BCGBAL-PBmiRNA_S21.Homo_sapiens.HTSeq	847255	28.8914657529	0	45343660	19738641	11657316	13100448	0
T054-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens.HTSeq	643126	21.8441117481	0	47832405	25409376	11331339	10448564	0
T054-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens.HTSeq	766136	28.6823305244	0	45610816	21438989	10323446	13082245	0
T054-B2SalBAL-PBmiRNA_S18.Homo_sapiens.HTSeq	399622	22.4124061818	0	36104517	19394917	8218087	8091891	0
