Sample	Mapped to too many loci	Mapped to multiple loci	Unmapped: too short	Uniquely mapped	Unmapped: other
T021-B2Sal2BAL-PLmiRNA_S20	357465.0	3006272.0	440179	15958752.0	161333
T021-B2Sal3BAL-PLmiRNA_S21	867614.0	4153107.0	315511	15385022.0	137906
T023-B1BALCells-PBmiRNA_S10	378333.0	2992710.0	463857	31014743.0	172189
T023-B2BCGBAL-PBmiRNA_S12	447706.0	2957004.0	367482	18098251.0	162837
T023-B2PPDBAL-PBmiRNA_S11	177514.0	1675613.0	324691	19496250.0	100240
T023-B2SalBAL-PBmiRNA_S8	419019.0	3731069.0	482569	20546862.0	228585
T025-B1BALRNA-PBmiRNA_S10	429969.0	2658435.0	424409	24838548.0	76906
T025-B2BCGBAL-PBmiRNA_S14	1002657.0	4312401.0	491296	26270201.0	84037
T025-B2PPDBAL-PBmiRNA1_S12	1959572.0	5141799.0	791402	37128999.0	368412
T025-B2PPDBAL-PLmiRNA2_S13	1235735.0	5112527.0	1485037	46989875.0	548577
T025-B2SalBAL-PBmiRNA_S11	1109588.0	4321712.0	570752	23491423.0	118290
T026-B1BALCells-PBmiRNA_S13	480091.0	3159639.0	348744	25790497.0	110286
T026-B2BCGBAL-PBmiRNA_S17	263520.0	2330008.0	273997	21295012.0	80017
T026-B2PPDBAL-PBmiRNA1_S15	677415.0	3199305.0	372123	25571815.0	141047
T026-B2PPDBAL-PLmiRNA2_S16	832939.0	3783156.0	725382	38924182.0	378266
T026-B2SalBAL-PBmiRNA_S14	316271.0	2134081.0	401055	21773767.0	128734
T028-B1BAL-PBmiRNA_S23	576993.0	4392025.0	679769	26849599.0	156870
T028-B2BCGBAL-PBmiRNA_S26	861864.0	4204806.0	1151877	37030095.0	410138
T028-B2PPDBAL-PBmiRNA_S25	1379931.0	5151402.0	958571	39695977.0	424442
T028-B2SalBAL-PBmiRNA_S24	680903.0	4318107.0	579997	30661450.0	215219
T030-B1BALRNA-PBmiRNA_S5	1781179.0	6302421.0	1013927	32912690.0	579387
T031-B1BALRNA-PBmiRNA_S6	572052.0	3440766.0	633790	26207044.0	192623
T031-B2BCGBAL-PBmiRNA_S9	1491311.0	5453000.0	786698	29389466.0	344648
T031-B2PPDBAL-PBmiRNA_S8	815386.0	3715611.0	895025	37219917.0	322726
T031-B2SalBAL-PBmiRNA_S7	530386.0	2733935.0	772133	26871859.0	177466
T032-B1BALRNA-PBmiRNA_S23	1123288.0	4880847.0	1074636	25031745.0	223343
T032-B2BCGBAL-PBmiRNA1_S28	1217201.0	4646516.0	832180	34665451.0	266298
T032-B2BCGBAL-PLmiRNA2_S29	446898.0	2870460.0	881253	33594368.0	250701
T032-B2PPDBAL-PBmiRNA1_S25	1294923.0	4306108.0	925827	34232019.0	245795
T032-B2PPDBAL-PLmiRNA2_S26	695550.0	3663829.0	715435	24372497.0	106428
T032-B2PPDBAL-PLmiRNA3_S27	1670048.0	5410748.0	740168	31138905.0	266304
T032-B2SalBAL-PBmiRNA_S24	1349566.0	5368065.0	804912	32241761.0	268304
T033-B1BALRNA-PBmiRNA1_S15	1169159.0	4881363.0	526399	26482438.0	163250
T033-B1BALRNA-PLmiRNA2_S16	817632.0	3563967.0	629943	29237744.0	148019
T033-B2BCGBAL-PBmiRNA1_S20	1487085.0	5150786.0	773337	27047828.0	294770
T033-B2BCGBAL-PLmiRNA2_S21	501461.0	3216413.0	968860	34117129.0	210961
T033-B2PPDBAL-PBmiRNA1_S18	1836527.0	5229809.0	982311	32129392.0	307225
T033-B2PPDBAL-PLmiRNA2_S19	1206461.0	4783166.0	1431205	53805616.0	731092
T033-B2SalBAL-PBmiRNA_S17	1287559.0	5221472.0	1002524	29636983.0	182616
T034-B-SingleRNABAL-miRNA_S22	773360.0	3416760.0	671615	28327735.0	197141
T035-B1BALRNA-PBmiRNA_S6	901545.0	5265893.0	1026031	22697700.0	210622
T035-B2BCGBAL-PBmiRNA_S3	664202.0	4084416.0	1670192	51572686.0	533290
T035-B2PPDBAL-PBmiRNA_S2	620976.0	3837013.0	1439157	18885051.0	131964
T035-B2SalBAL-PBmiRNA_S1	294105.0	2769611.0	729639	22841669.0	160950
T036-B1BALRNA-PBmiRNA_S7	709514.0	3868451.0	404680	24626455.0	98194
T036-B2S1BAL-PBmiRNA1_S1	770556.0	4446769.0	1011574	26229566.0	71558
T036-B2S2BAL-PBmiRNA2_S8	685353.0	4019033.0	1627176	21385586.0	94571
T036-B2S3BAL-PBmiRNA3_S9	413597.0	2421542.0	1956100	26405991.0	150469
T038-B1BALRNA-PBmiRNA_S25	702317.0	3843982.0	605653	22902135.0	192451
T038-B2BCGBAL-PLmiRNA_S28	1349446.0	4644994.0	484280	15423506.0	187962
T038-B2PPDBAL-PBmiRNA_S27	581084.0	2697206.0	461820	25114073.0	168462
T038-B2SalBAL-PBmiRNA_S26	425914.0	2657993.0	774828	29721475.0	270682
T039-B1BALRNA-PBmiRNA_S10	566656.0	3077140.0	423913	23162973.0	120337
T039-B2BCGBAL-PBmiRNA1_S14	692814.0	2726157.0	294361	25660193.0	79478
T039-B2BCGBAL-PLmiRNA2_S15	530650.0	2869165.0	1820103	38423953.0	351711
T039-B2PPDBAL-PBmiRNA1_S12	827513.0	3560213.0	468056	32261639.0	194711
T039-B2PPDBAL-PLmiRNA2_S13	717921.0	3392517.0	828327	47797795.0	435402
T039-B2SalBAL-PBmiRNA_S11	432777.0	2783165.0	440239	31976624.0	143167
T041-B1BALRNA-PBmiRNA_S22	485501.0	2621753.0	467770	27771161.0	161191
T041-B2BCGBAL-PBmiRNA_S26	963998.0	4414219.0	373141	20553568.0	153490
T041-B2PPDBAL-PBmiRNA1_S24	1102577.0	3781518.0	511447	26177961.0	316458
T041-B2PPDBAL-PLmiRNA2_S25	471213.0	2993555.0	672190	45423102.0	456487
T041-B2SalBAL-PBmiRNA_S23	531243.0	3406441.0	719558	41271033.0	399238
T042-B1BALRNA-PBmiRNA_S6	1329761.0	5305852.0	670825	23761703.0	174726
T042-B2BCGBAL-PBmiRNA_S11	804209.0	3727718.0	725196	41451170.0	329635
T042-B2PPDBAL-PBmiRNA1_S9	741257.0	3046648.0	498781	30245468.0	258110
T042-B2PPDBAL-PLmiRNA2_S10	457161.0	2515280.0	704860	31794830.0	296972
T042-B2SalBAL-PBmiRNA1_S7	404086.0	3020049.0	642140	35758699.0	260869
T042-B2SalBAL-PLmiRNA2_S8	509766.0	3070158.0	649802	28865349.0	243259
T045-B1BALRNA-PBmiRNA_S16	449460.0	2507415.0	942602	24666980.0	175301
T046-B1BALRNA-PBmiRNA_S17	832644.0	4237087.0	409310	21909150.0	153835
T047-B1BALRNA-PBmiRNA_S18	595851.0	3664335.0	931213	19942732.0	126524
T047-B2BCGBAL-PBmiRNA_S21	223271.0	2381576.0	561793	20562064.0	123785
T047-B2PPDBAL-PBmiRNA1_S19	693330.0	3324672.0	483155	24409098.0	180456
T047-B2PPDBAL-PLmiRNA2_S20	525348.0	2739976.0	683291	29219946.0	257909
T047-B2SalBAL-PBmiRNA1_S3	882960.0	6111217.0	584271	19676059.0	181042
T047-B2SalBAL-PLmiRNA2_S4	656401.0	8336636.0	1235281	18209797.0	258547
T048-B1BALRNA-PBmiRNA_S22	507543.0	3351974.0	455956	25427908.0	149986
T048-B2BCGBAL-PBmiRNA_S24	1014267.0	4411305.0	651717	35672838.0	332166
T048-B2PPDBAL-PBmiRNA_S23	542868.0	3175985.0	601934	30873151.0	226611
T048-B2SalBAL-PBmiRNA_S5	753877.0	5385602.0	1142167	22694315.0	129586
T049-B1BALRNA-PBmiRNA_S2	758591.0	6327002.0	4835536	16888768.0	214784
T050-B1BALRNA-PBmiRNA1_S27	249179.0	3191354.0	610221	38244537.0	152555
T050-B1BALRNA-PLmiRNA2_S28	201136.0	2161768.0	531534	31075072.0	183993
T051-B1BALRNA-PBmiRNA_S12	2132665.0	6554425.0	598113	28650666.0	348899
T051-B2BCGBAL-PBmiRNA_S16	327353.0	2830332.0	498952	32132264.0	175889
T051-B2PPDBAL-PBmiRNA1_S14	805459.0	3538795.0	557376	32663521.0	180771
T051-B2PPDBAL-PLmiRNA2_S15	601781.0	3292335.0	796231	39774843.0	362330
T051-B2SalBAL-PBmiRNA_S13	226479.0	2670390.0	442661	34853922.0	106849
T052-BALRNA-PBmiRNA1_S4	1102240.0	4672910.0	865867	36950819.0	360412
T052-BALRNA-PLmiRNA2_S5	936433.0	3477303.0	754935	35530674.0	332336
T053-B1BALRNA-PBmiRNA_S29	588283.0	2722141.0	534585	27038210.0	164727
T054-B1BALRNA-PBmiRNA_S17	675833.0	3390550.0	612352	34821858.0	246532
T054-B2BCGBAL-PBmiRNA_S21	602981.0	3311850.0	511089	33686344.0	207510
T054-B2PPDBAL-PBmiRNA1_S19	683587.0	3217839.0	598435	36501066.0	305408
T054-B2PPDBAL-PLmiRNA2_S20	481456.0	3020963.0	629928	35287370.0	198091
T054-B2SalBAL-PBmiRNA_S18	313103.0	2392236.0	620661	27886430.0	163002
