Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
T007-B1BALCells-PLmiRNA2_S27	77.89	4787776.0	29069.0	1.49	1.49	1.59	80.0	0.01	0.49	79.0	3207.0	4735601.0	4753420.0	19882830.0	919990.0	0	0.0	25527249.0	155856	0.01	0.61	16.31	4162324.0	2080.0	406249	3.6
T007-B2BCGBAL-PBmiRNA1_S2	83.47	4158294.0	26449.0	1.5	1.48	1.32	80.85	0.01	0.53	80.0	3083.0	4111148.0	4126779.0	23505348.0	700321.0	0	0.0	28160331.0	148805	0.01	0.53	12.2	3435250.0	1983.0	370607	2.49
T007-B2BCGBAL-PLmiRNA2_S3	81.8	4602206.0	28459.0	1.51	1.49	1.29	80.59	0.01	0.52	80.0	3034.0	4540821.0	4568755.0	23890468.0	1028006.0	0	0.0	29207644.0	145775	0.01	0.5	12.9	3767294.0	1958.0	376101	3.52
T007-B2PPDBAL-PBmiRNA_S1	86.82	4135050.0	28832.0	1.52	1.52	1.23	80.98	0.01	0.52	81.0	3153.0	4076726.0	4101076.0	28332761.0	664618.0	0	0.0	32633484.0	120227	0.01	0.37	9.55	3116203.0	1989.0	399675	2.04
T007-B2SalBAL-PBmiRNA_S29	85.32	3478317.0	23900.0	1.5	1.51	1.87	79.07	0.01	0.5	78.0	2598.0	3427553.0	3449998.0	31512402.0	762635.0	0	0.0	36934845.0	221616	0.01	0.6	10.15	3747489.0	1821.0	690703	2.06
T009-B1BALCells-PBmiRNA_S25	87.14	1526175.0	10337.0	1.52	1.51	3.01	79.79	0.01	0.51	79.0	1017.0	1479340.0	1513689.0	20197229.0	283493.0	0	0.0	23177619.0	190429	0.01	0.82	7.8	1807455.0	1132.0	699013	1.22
T009-B2BCGBAL-PBmiRNA_S7	79.86	3047621.0	21537.0	1.51	1.53	3.66	78.07	0.01	0.55	78.0	2176.0	2974616.0	3020979.0	23157177.0	694377.0	0	0.0	28998111.0	188247	0.01	0.65	13.44	3898337.0	2929.0	1059973	2.39
T009-B2PPDBAL-PBmiRNA_S28	89.9	3052574.0	21642.0	1.52	1.52	1.63	78.66	0.01	0.51	78.0	2149.0	2982749.0	3026928.0	38594634.0	547292.0	0	0.0	42931146.0	236313	0.01	0.55	6.64	2852562.0	1855.0	700345	1.27
T009-B2SalBAL-PBmiRNA_S6	80.04	2693709.0	18520.0	1.5	1.52	2.6	80.97	0.01	0.51	79.0	2007.0	2645003.0	2671388.0	19768839.0	480543.0	0	0.0	24699013.0	308782	0.01	1.25	14.16	3498582.0	1794.0	642267	1.95
T010-B1BALRNA-PBmiRNA_S9	87.9	2293164.0	15953.0	1.51	1.5	2.19	80.59	0.01	0.54	80.0	1836.0	2246643.0	2274179.0	25968219.0	470430.0	0	0.0	29543477.0	156305	0.01	0.53	7.79	2302660.0	1196.0	645863	1.59
T011-B1BALCells-PBmiRNA_S4	73.58	3910972.0	22765.0	1.49	1.47	2.83	80.84	0.01	0.49	79.0	2621.0	3853061.0	3883513.0	20341427.0	979371.0	0	0.0	27645265.0	326243	0.01	1.18	18.87	5215793.0	2073.0	782431	3.54
T011-B2BCGBAL-PBmiRNA_S22	86.12	3228630.0	20890.0	1.5	1.48	1.75	80.35	0.01	0.48	79.0	2438.0	3185639.0	3203762.0	23041089.0	430236.0	0	0.0	26755994.0	182281	0.01	0.68	9.84	2633281.0	1540.0	469107	1.61
T011-B2BCGBAL-PBmiRNA_S5	77.02	2232640.0	16090.0	1.51	1.5	10.05	80.15	0.01	0.52	78.0	1782.0	2182752.0	2213162.0	19885965.0	368185.0	0	0.0	25819250.0	299510	0.01	1.16	10.34	2670695.0	1606.0	2594895	1.43
T011-B2PPDBAL-PBmiRNA1_S23	83.76	4594197.0	30793.0	1.54	1.46	1.51	79.28	0.01	0.52	79.0	3402.0	4542122.0	4557895.0	30137861.0	834889.0	0	0.0	35983249.0	280162	0.01	0.78	11.64	4187973.0	2107.0	542364	2.32
T011-B2PPDBAL-PLmiRNA2_S24	87.83	2031680.0	12744.0	1.55	1.5	2.08	80.03	0.01	0.56	80.0	1471.0	1980248.0	2015581.0	23645037.0	386676.0	0	0.0	26922418.0	147717	0.01	0.55	8.11	2184351.0	1884.0	558637	1.44
T012-BALRNA-PBmiRNA_S8	88.59	3130097.0	22736.0	1.52	1.53	1.86	80.56	0.01	0.55	80.0	2427.0	3078769.0	3103344.0	30986706.0	436296.0	0	0.0	34976847.0	153731	0.01	0.44	7.86	2750252.0	1590.0	649862	1.25
T013-B1BALCells-PBmiRNA_S4	87.57	2319843.0	16531.0	1.5	1.49	1.48	80.77	0.01	0.54	80.0	1830.0	2282255.0	2300005.0	24278285.0	387932.0	0	0.0	27724220.0	163600	0.01	0.59	8.96	2484017.0	1477.0	410386	1.4
T013-B2BCGBAL-PBmiRNA_S7	89.59	3065340.0	22280.0	1.51	1.52	1.3	80.37	0.01	0.53	80.0	2327.0	3011651.0	3038774.0	32783024.0	475877.0	0	0.0	36590877.0	164070	0.01	0.45	7.36	2693927.0	1959.0	473979	1.3
T013-B2PPDBAL-PBmiRNA_S6	86.49	2232409.0	15696.0	1.59	1.48	1.68	76.17	0.01	0.63	76.0	1623.0	2184444.0	2213739.0	39120843.0	855617.0	0	0.0	45233861.0	487655	0.01	1.08	8.87	4011171.0	1351.0	758575	1.89
T013-B2SalBAL-PBmiRNA_S5	79.58	2923425.0	19764.0	1.51	1.49	1.35	81.48	0.01	0.53	81.0	2098.0	2882607.0	2899549.0	20091223.0	704495.0	0	0.0	25245264.0	118455	0.01	0.47	15.81	3990846.0	2014.0	340245	2.79
T014-B1BALCells-PLmiRNA2_S28	82.29	4047694.0	27047.0	1.53	1.47	2.27	72.06	0.01	0.65	70.0	3113.0	3977692.0	4014604.0	42692038.0	1557702.0	0	0.0	51882148.0	799114	0.01	1.54	10.9	5655380.0	2930.0	1177914	3.0
T014-B1BALRNA-PBmiRNA1_S27	75.14	6028441.0	36960.0	1.49	1.48	1.75	78.87	0.01	0.55	77.0	4674.0	5962140.0	5983687.0	27815146.0	1693744.0	0	0.0	37019721.0	361702	0.01	0.98	17.57	6503233.0	3120.0	645896	4.58
T014-B2BCGBAL-PBmiRNA1_S3	74.33	4706699.0	29302.0	1.48	1.48	2.02	78.81	0.01	0.64	77.0	3583.0	4647648.0	4671229.0	28230813.0	1556831.0	0	0.0	37982324.0	318937	0.01	0.84	18.72	7108774.0	2585.0	766969	4.1
T014-B2BCGBAL-PLmiRNA2_S4	83.43	3446573.0	22974.0	1.53	1.47	2.81	73.87	0.01	0.75	73.0	2669.0	3380140.0	3418434.0	44722949.0	1366548.0	0	0.0	53605859.0	692267	0.01	1.29	9.92	5316133.0	2496.0	1507962	2.55
T014-B2PPDBAL-PBmiRNA1_S1	77.64	5278693.0	32700.0	1.5	1.51	2.09	79.17	0.01	0.62	77.0	3997.0	5214210.0	5239310.0	28790872.0	1838854.0	0	0.0	37081584.0	319346	0.01	0.86	14.44	5356428.0	2686.0	776084	4.96
T014-B2PPDBAL-PLmiRNA2_S2	82.46	3712025.0	24956.0	1.55	1.48	2.69	74.69	0.01	0.72	73.0	2969.0	3639827.0	3681328.0	45096362.0	1819574.0	0	0.0	54687249.0	677889	0.01	1.24	10.28	5622843.0	2772.0	1470581	3.33
T014-B2SalBAL-PBmiRNA_S29	82.08	3309936.0	21630.0	1.52	1.48	1.91	77.59	0.01	0.6	76.0	2581.0	3253290.0	3283397.0	34108350.0	1344971.0	0	0.0	41553879.0	491118	0.01	1.18	11.59	4814495.0	2328.0	794945	3.24
T015-B1BALCells-PBmiRNA_S18	87.65	3534620.0	25235.0	1.5	1.51	1.43	79.21	0.01	0.54	79.0	2638.0	3481632.0	3504883.0	34947299.0	460069.0	0	0.0	39871383.0	203290	0.01	0.51	9.26	3690714.0	1864.0	570011	1.15
T015-B2BCGBAL-PBmiRNA_S22	87.15	2899244.0	20785.0	1.49	1.5	1.6	79.68	0.01	0.57	79.0	2372.0	2850702.0	2874428.0	30967343.0	653913.0	0	0.0	35534043.0	252513	0.01	0.71	8.7	3091231.0	1659.0	569043	1.84
T015-B2PPDBAL-PBmiRNA_S21	76.93	5048295.0	33476.0	1.52	1.46	1.8	77.31	0.01	0.57	75.0	3835.0	4972273.0	5007739.0	38893394.0	2893968.0	0	0.0	50555889.0	642330	0.01	1.27	14.27	7215808.0	3245.0	910389	5.72
T015-B2SalBAL-PBmiRNA1_S19	85.16	3315915.0	22108.0	1.51	1.49	1.53	81.34	0.01	0.53	81.0	2206.0	3276113.0	3290206.0	17959997.0	405156.0	0	0.0	21090509.0	88467	0.01	0.42	10.97	2314617.0	1395.0	322272	1.92
T015-B2SalBAL-PLmiRNA2_S20	72.61	6776133.0	40459.0	1.54	1.51	2.52	78.72	0.01	0.53	78.0	4804.0	6691976.0	6727343.0	28750333.0	2384062.0	0	0.0	39594298.0	308295	0.01	0.78	18.07	7155576.0	3527.0	996032	6.02
T016-B1BALCells-PBmiRNA_S16	79.74	3388882.0	22653.0	1.52	1.48	5.93	78.51	0.01	0.5	77.0	2442.0	3341604.0	3362090.0	25335451.0	705144.0	0	0.0	31773268.0	352755	0.01	1.11	11.0	3495378.0	1697.0	1884540	2.22
T016-B2BCGBAL-PBmiRNA1_S17	81.54	3947262.0	25657.0	1.5	1.5	2.75	79.92	0.01	0.5	79.0	2788.0	3899953.0	3917013.0	24653507.0	732040.0	0	0.0	30235369.0	190706	0.01	0.63	12.66	3826667.0	1804.0	832449	2.42
T016-B2BCGBAL-PBmiRNA2_S18	89.4	2818580.0	19907.0	1.52	1.51	1.25	81.8	0.01	0.45	81.0	2154.0	2779363.0	2795262.0	23669665.0	293549.0	0	0.0	26474685.0	106027	0.01	0.4	7.83	2074109.0	1257.0	331335	1.11
T016-B2PPDBAL-PBmiRNA_S19	84.58	3500459.0	23852.0	1.51	1.5	2.81	78.76	0.01	0.51	78.0	2573.0	3449137.0	3472416.0	29258204.0	679586.0	0	0.0	34590946.0	231575	0.01	0.67	9.97	3450349.0	1618.0	971232	1.96
T021-B1BALCells-PLmiRNA_S3	71.98	1927375.0	14307.0	1.48	1.45	17.1	81.99	0.01	0.48	81.0	1401.0	1889311.0	1910339.0	15919173.0	291692.0	0	0.0	22116689.0	128318	0.01	0.58	9.02	1994324.0	1328.0	3783182	1.32
T021-B2Sal2BAL-PLmiRNA_S20	80.1	2893509.0	18080.0	1.49	1.44	2.21	81.25	0.01	0.49	80.0	1946.0	2847140.0	2871761.0	15958752.0	357465.0	0	0.0	19924001.0	161333	0.01	0.81	15.09	3006272.0	1722.0	440179	1.79
T021-B2Sal3BAL-PLmiRNA_S21	73.76	4259879.0	20530.0	1.48	1.41	1.51	81.69	0.01	0.45	80.0	2341.0	4210025.0	4235184.0	15385022.0	867614.0	0	0.0	20859160.0	137906	0.01	0.66	19.91	4153107.0	1824.0	315511	4.16
T023-B1BALCells-PBmiRNA_S10	88.56	2949886.0	21179.0	1.51	1.51	1.32	79.91	0.01	0.53	79.0	2337.0	2905955.0	2924889.0	31014743.0	378333.0	0	0.0	35021832.0	172189	0.01	0.49	8.55	2992710.0	1481.0	463857	1.08
T023-B2BCGBAL-PBmiRNA_S12	82.14	3340429.0	21442.0	1.54	1.49	1.67	81.98	0.01	0.49	81.0	2602.0	3298477.0	3314844.0	18098251.0	447706.0	0	0.0	22033280.0	162837	0.01	0.74	13.42	2957004.0	1541.0	367482	2.03
T023-B2PPDBAL-PBmiRNA_S11	89.54	2476588.0	17622.0	1.52	1.5	1.49	82.44	0.01	0.5	82.0	1931.0	2441072.0	2455947.0	19496250.0	177514.0	0	0.0	21774308.0	100240	0.01	0.46	7.7	1675613.0	1088.0	324691	0.82
T023-B2SalBAL-PBmiRNA_S8	80.87	3699252.0	23760.0	1.52	1.5	1.9	82.02	0.01	0.47	80.0	2811.0	3653135.0	3670900.0	20546862.0	419019.0	0	0.0	25408104.0	228585	0.01	0.9	14.68	3731069.0	1781.0	482569	1.65
T025-B1BALRNA-PBmiRNA_S10	87.37	3488364.0	23028.0	1.51	1.5	1.49	81.9	0.01	0.59	82.0	2636.0	3443400.0	3461038.0	24838548.0	429969.0	0	0.0	28428267.0	76906	0.01	0.27	9.35	2658435.0	1662.0	424409	1.51
T025-B2BCGBAL-PBmiRNA_S14	81.68	4494941.0	28053.0	1.49	1.47	1.52	81.71	0.01	0.59	82.0	3392.0	4442170.0	4461336.0	26270201.0	1002657.0	0	0.0	32160592.0	84037	0.01	0.26	13.41	4312401.0	2160.0	491296	3.12
T025-B2PPDBAL-PBmiRNA1_S12	81.8	4290317.0	29357.0	1.53	1.49	1.74	77.77	0.01	0.64	77.0	3098.0	4226130.0	4255370.0	37128999.0	1959572.0	0	0.0	45390184.0	368412	0.01	0.81	11.33	5141799.0	2492.0	791402	4.32
T025-B2PPDBAL-PLmiRNA2_S13	84.86	3805535.0	25826.0	1.52	1.46	2.68	72.2	0.01	0.73	72.0	2626.0	3713084.0	3773637.0	46989875.0	1235735.0	0	0.0	55371751.0	548577	0.01	0.99	9.23	5112527.0	3446.0	1485037	2.23
T025-B2SalBAL-PBmiRNA_S11	79.33	3884793.0	23714.0	1.5	1.47	1.93	81.15	0.01	0.61	81.0	2833.0	3834245.0	3856093.0	23491423.0	1109588.0	0	0.0	29611765.0	118290	0.01	0.4	14.59	4321712.0	2153.0	570752	3.75
T026-B1BALCells-PBmiRNA_S13	86.29	3214383.0	20983.0	1.5	1.53	1.17	81.08	0.01	0.51	81.0	2260.0	3172009.0	3189732.0	25790497.0	480091.0	0	0.0	29889257.0	110286	0.01	0.37	10.57	3159639.0	1408.0	348744	1.61
T026-B2BCGBAL-PBmiRNA_S17	87.84	3456284.0	22216.0	1.5	1.52	1.13	81.61	0.01	0.53	81.0	2376.0	3417640.0	3430206.0	21295012.0	263520.0	0	0.0	24242554.0	80017	0.01	0.33	9.61	2330008.0	1486.0	273997	1.09
T026-B2PPDBAL-PBmiRNA1_S15	85.35	3668959.0	23414.0	1.5	1.52	1.24	80.76	0.01	0.5	80.0	2491.0	3622708.0	3641506.0	25571815.0	677415.0	0	0.0	29961705.0	141047	0.01	0.47	10.68	3199305.0	1548.0	372123	2.26
T026-B2PPDBAL-PLmiRNA2_S16	87.19	2288900.0	15359.0	1.56	1.48	1.63	77.39	0.01	0.58	77.0	1507.0	2237676.0	2270738.0	38924182.0	832939.0	0	0.0	44643925.0	378266	0.01	0.85	8.47	3783156.0	1296.0	725382	1.87
T026-B2SalBAL-PBmiRNA_S14	87.96	2352742.0	15862.0	1.5	1.5	1.62	82.25	0.01	0.51	82.0	1780.0	2317507.0	2334057.0	21773767.0	316271.0	0	0.0	24753908.0	128734	0.01	0.52	8.62	2134081.0	1043.0	401055	1.28
T028-B1BAL-PBmiRNA_S23	82.22	4857233.0	32208.0	1.5	1.49	2.08	80.92	0.01	0.52	80.0	3971.0	4796565.0	4818240.0	26849599.0	576993.0	0	0.0	32655256.0	156870	0.01	0.48	13.45	4392025.0	2814.0	679769	1.77
T028-B2BCGBAL-PBmiRNA_S26	84.82	3635665.0	25818.0	1.5	1.49	2.64	77.92	0.01	0.57	77.0	3182.0	3575554.0	3604295.0	37030095.0	861864.0	0	0.0	43658780.0	410138	0.01	0.94	9.63	4204806.0	2370.0	1151877	1.97
T028-B2PPDBAL-PBmiRNA_S25	83.38	5185817.0	35766.0	1.5	1.49	2.01	77.22	0.01	0.58	76.0	4170.0	5105155.0	5142570.0	39695977.0	1379931.0	0	0.0	47610323.0	424442	0.01	0.89	10.82	5151402.0	3311.0	958571	2.9
T028-B2SalBAL-PBmiRNA_S24	84.11	6097940.0	38788.0	1.51	1.49	1.59	80.02	0.01	0.52	79.0	5122.0	6030750.0	6050774.0	30661450.0	680903.0	0	0.0	36455676.0	215219	0.01	0.59	11.84	4318107.0	3256.0	579997	1.87
T030-B1BALRNA-PBmiRNA_S5	77.28	5155601.0	34316.0	1.5	1.46	2.38	76.61	0.01	0.69	74.0	4159.0	5085523.0	5114119.0	32912690.0	1781179.0	0	0.0	42589604.0	579387	0.01	1.36	14.8	6302421.0	3007.0	1013927	4.18
T031-B1BALRNA-PBmiRNA_S6	84.41	2586656.0	18688.0	1.5	1.49	2.04	80.39	0.01	0.61	80.0	2133.0	2539052.0	2564315.0	26207044.0	572052.0	0	0.0	31046275.0	192623	0.01	0.62	11.08	3440766.0	1520.0	633790	1.84
T031-B2BCGBAL-PBmiRNA_S9	78.44	4770872.0	30490.0	1.49	1.46	2.1	78.79	0.01	0.65	77.0	3808.0	4708396.0	4733876.0	29389466.0	1491311.0	0	0.0	37465123.0	344648	0.01	0.92	14.55	5453000.0	2698.0	786698	3.98
T031-B2PPDBAL-PBmiRNA_S8	86.62	3970052.0	27793.0	1.5	1.48	2.08	77.81	0.01	0.66	77.0	3262.0	3913361.0	3936714.0	37219917.0	815386.0	0	0.0	42968665.0	322726	0.01	0.75	8.65	3715611.0	2283.0	895025	1.9
T031-B2SalBAL-PBmiRNA_S7	86.44	2358905.0	16443.0	1.51	1.49	2.48	80.47	0.01	0.63	80.0	1949.0	2317635.0	2339110.0	26871859.0	530386.0	0	0.0	31085779.0	177466	0.01	0.57	8.79	2733935.0	1403.0	772133	1.71
T032-B1BALRNA-PBmiRNA_S23	77.42	4080321.0	26215.0	1.51	1.47	3.32	79.39	0.01	0.67	78.0	2926.0	4024920.0	4048934.0	25031745.0	1123288.0	0	0.0	32333859.0	223343	0.01	0.69	15.1	4880847.0	2246.0	1074636	3.47
T032-B2BCGBAL-PBmiRNA1_S28	83.28	5982791.0	39653.0	1.51	1.49	2.0	78.88	0.01	0.64	78.0	4817.0	5911510.0	5935366.0	34665451.0	1217201.0	0	0.0	41627646.0	266298	0.01	0.64	11.16	4646516.0	2955.0	832180	2.92
T032-B2BCGBAL-PLmiRNA2_S29	88.3	3369412.0	22219.0	1.56	1.47	2.32	79.21	0.01	0.65	79.0	2790.0	3314898.0	3342396.0	33594368.0	446898.0	0	0.0	38043680.0	250701	0.01	0.66	7.55	2870460.0	2007.0	881253	1.17
T032-B2PPDBAL-PBmiRNA1_S25	83.48	5686173.0	38541.0	1.5	1.47	2.26	78.37	0.01	0.66	78.0	4366.0	5616400.0	5640123.0	34232019.0	1294923.0	0	0.0	41004672.0	245795	0.01	0.6	10.5	4306108.0	3143.0	925827	3.16
T032-B2PPDBAL-PLmiRNA2_S26	82.47	3496281.0	21908.0	1.5	1.46	2.42	80.96	0.01	0.63	81.0	2542.0	3436810.0	3469326.0	24372497.0	695550.0	0	0.0	29553739.0	106428	0.01	0.36	12.4	3663829.0	2505.0	715435	2.35
T032-B2PPDBAL-PLmiRNA3_S27	79.38	6504041.0	41391.0	1.5	1.47	1.89	79.25	0.01	0.63	78.0	4875.0	6419041.0	6454339.0	31138905.0	1670048.0	0	0.0	39226173.0	266304	0.01	0.68	13.79	5410748.0	3436.0	740168	4.26
T032-B2SalBAL-PBmiRNA_S24	80.54	4697064.0	31464.0	1.51	1.49	2.01	78.69	0.01	0.65	78.0	3727.0	4629253.0	4659071.0	32241761.0	1349566.0	0	0.0	40032608.0	268304	0.01	0.67	13.41	5368065.0	2802.0	804912	3.37
T033-B1BALRNA-PBmiRNA1_S15	79.71	5061923.0	30634.0	1.47	1.47	1.58	80.66	0.01	0.6	80.0	3652.0	5008127.0	5025089.0	26482438.0	1169159.0	0	0.0	33222609.0	163250	0.01	0.49	14.69	4881363.0	2548.0	526399	3.52
T033-B1BALRNA-PLmiRNA2_S16	85.0	4413296.0	28877.0	1.48	1.49	1.83	79.69	0.01	0.62	79.0	3534.0	4360001.0	4378437.0	29237744.0	817632.0	0	0.0	34397305.0	148019	0.01	0.43	10.36	3563967.0	2448.0	629943	2.38
T033-B2BCGBAL-PBmiRNA1_S20	77.83	4714487.0	28623.0	1.48	1.47	2.23	78.64	0.01	0.65	77.0	3661.0	4656530.0	4679564.0	27047828.0	1487085.0	0	0.0	34753806.0	294770	0.01	0.85	14.82	5150786.0	2639.0	773337	4.28
T033-B2BCGBAL-PLmiRNA2_S21	87.45	3671017.0	23292.0	1.53	1.46	2.48	78.37	0.01	0.68	78.0	2720.0	3612775.0	3642515.0	34117129.0	501461.0	0	0.0	39014824.0	210961	0.01	0.54	8.24	3216413.0	2490.0	968860	1.29
T033-B2PPDBAL-PBmiRNA1_S18	79.36	4660941.0	30507.0	1.5	1.47	2.43	78.98	0.01	0.64	78.0	3555.0	4590029.0	4624015.0	32129392.0	1836527.0	0	0.0	40485264.0	307225	0.01	0.76	12.92	5229809.0	2864.0	982311	4.54
T033-B2PPDBAL-PLmiRNA2_S19	86.84	2171216.0	16357.0	1.55	1.48	2.31	72.91	0.01	0.74	72.0	1525.0	2092850.0	2151254.0	53805616.0	1206461.0	0	0.0	61957540.0	731092	0.01	1.18	7.72	4783166.0	2080.0	1431205	1.95
T033-B2SalBAL-PBmiRNA_S17	79.39	6441620.0	39621.0	1.47	1.47	2.69	80.04	0.01	0.63	79.0	4976.0	6378408.0	6393852.0	29636983.0	1287559.0	0	0.0	37331154.0	182616	0.01	0.49	13.99	5221472.0	3171.0	1002524	3.45
T034-B-SingleRNABAL-miRNA_S22	84.85	3928985.0	28115.0	1.5	1.49	2.01	79.73	0.01	0.65	79.0	3182.0	3870776.0	3895346.0	28327735.0	773360.0	0	0.0	33386611.0	197141	0.01	0.59	10.23	3416760.0	2342.0	671615	2.32
T035-B1BALRNA-PBmiRNA_S6	75.4	3268624.0	22660.0	1.49	1.52	3.41	79.26	0.01	0.59	79.0	2646.0	3204616.0	3240805.0	22697700.0	901545.0	0	0.0	30101791.0	210622	0.01	0.7	17.49	5265893.0	2513.0	1026031	2.99
T035-B2BCGBAL-PBmiRNA_S3	88.12	2436360.0	18365.0	1.55	1.48	2.85	74.43	0.01	0.59	74.0	2113.0	2372864.0	2413683.0	51572686.0	664202.0	0	0.0	58524786.0	533290	0.01	0.91	6.98	4084416.0	2199.0	1670192	1.13
T035-B2PPDBAL-PBmiRNA_S2	75.8	4152587.0	25848.0	1.5	1.51	5.78	81.12	0.01	0.49	81.0	3435.0	4101031.0	4121038.0	18885051.0	620976.0	0	0.0	24914161.0	131964	0.01	0.53	15.4	3837013.0	2266.0	1439157	2.49
T035-B2SalBAL-PBmiRNA_S1	85.24	2337426.0	16507.0	1.53	1.51	2.72	81.27	0.01	0.46	81.0	2032.0	2295047.0	2317287.0	22841669.0	294105.0	0	0.0	26795974.0	160950	0.01	0.6	10.34	2769611.0	1600.0	729639	1.1
T036-B1BALRNA-PBmiRNA_S7	82.9	4888860.0	31540.0	1.51	1.48	1.36	81.44	0.01	0.49	81.0	3787.0	4836095.0	4851092.0	24626455.0	709514.0	0	0.0	29707294.0	98194	0.01	0.33	13.02	3868451.0	2441.0	404680	2.39
T036-B2S1BAL-PBmiRNA1_S1	80.63	5280475.0	32962.0	1.52	1.49	3.11	82.11	0.01	0.48	82.0	4112.0	5225277.0	5241069.0	26229566.0	770556.0	0	0.0	32530023.0	71558	0.01	0.22	13.67	4446769.0	2332.0	1011574	2.37
T036-B2S2BAL-PBmiRNA2_S8	76.89	3269080.0	21928.0	1.51	1.5	5.85	81.36	0.01	0.52	81.0	2726.0	3226914.0	3242571.0	21385586.0	685353.0	0	0.0	27811719.0	94571	0.01	0.34	14.45	4019033.0	1855.0	1627176	2.46
T036-B2S3BAL-PBmiRNA3_S9	84.24	2835433.0	18917.0	1.52	1.49	6.24	80.61	0.01	0.51	80.0	2354.0	2796404.0	2812539.0	26405991.0	413597.0	0	0.0	31347699.0	150469	0.01	0.48	7.72	2421542.0	1623.0	1956100	1.32
T038-B1BALRNA-PBmiRNA_S25	81.08	4254293.0	26673.0	1.5	1.53	2.14	80.46	0.01	0.54	79.0	3317.0	4194239.0	4222129.0	22902135.0	702317.0	0	0.0	28246538.0	192451	0.01	0.68	13.61	3843982.0	2174.0	605653	2.49
T038-B2BCGBAL-PLmiRNA_S28	69.82	3883937.0	21860.0	1.49	1.49	2.19	79.86	0.01	0.59	78.0	2807.0	3832444.0	3856839.0	15423506.0	1349446.0	0	0.0	22090188.0	187962	0.01	0.85	21.03	4644994.0	2431.0	484280	6.11
