Sample	Intergenic	Intronic	Exonic
T048-B2PPDBAL-PBmiRNA_S23.Homo_sapiens	4207051.0	15727567.0	10361437.0
T048-B2SalBAL-PBmiRNA_S5.Homo_sapiens	1877082.0	11030707.0	9110610.0
T049-B1BALRNA-PBmiRNA_S2.Homo_sapiens	1104466.0	6065334.0	9022247.0
T050-B1BALRNA-PBmiRNA1_S27.Homo_sapiens	2546855.0	21121463.0	13888795.0
T050-B1BALRNA-PLmiRNA2_S28.Homo_sapiens	4422786.0	17215949.0	9159085.0
T051-B1BALRNA-PBmiRNA_S12.Homo_sapiens	3031769.0	12610262.0	11929973.0
T051-B2BCGBAL-PBmiRNA_S16.Homo_sapiens	4469648.0	16815809.0	10357865.0
T051-B2PPDBAL-PBmiRNA1_S14.Homo_sapiens	3391286.0	17837048.0	10774263.0
T051-B2PPDBAL-PLmiRNA2_S15.Homo_sapiens	6534192.0	24328560.0	8503063.0
T051-B2SalBAL-PBmiRNA_S13.Homo_sapiens	2518514.0	19166311.0	12669894.0
T052-BALRNA-PBmiRNA1_S4.Homo_sapiens	5916626.0	19206231.0	11011964.0
T052-BALRNA-PLmiRNA2_S5.Homo_sapiens	11324728.0	18520982.0	5343371.0
T053-B1BALRNA-PBmiRNA_S29.Homo_sapiens	4089197.0	14463428.0	8065197.0
T054-B1BALRNA-PBmiRNA_S17.Homo_sapiens	3871632.0	18602951.0	11790797.0
T054-B2BCGBAL-PBmiRNA_S21.Homo_sapiens	3456127.0	17391819.0	12160086.0
T054-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens	6533253.0	19866840.0	9582727.0
T054-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens	3575616.0	19071447.0	12041673.0
T054-B2SalBAL-PBmiRNA_S18.Homo_sapiens	4772489.0	15384040.0	7424613.0
