Sample	with mate mapped to a different chr (mapQ >= 5)_failed	total_failed	duplicates_failed	with mate mapped to a different chr_passed	supplementary_passed	read2_failed	supplementary_failed	with itself and mate mapped_failed	paired in sequencing_failed	with mate mapped to a different chr_failed	total_passed	flagstat_total	paired in sequencing_passed	with itself and mate mapped_passed	duplicates_passed	read2_passed	secondary_failed	secondary_passed	with mate mapped to a different chr (mapQ >= 5)_passed	read1_failed	read1_passed
T011-B2PPDBAL-PLmiRNA2_S24.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31001143.0	31001143.0	0.0	0.0	0.0	0.0	0.0	5171755.0	0.0	0.0	0.0
T012-BALRNA-PBmiRNA_S8.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40202755.0	40202755.0	0.0	0.0	0.0	0.0	0.0	6465797.0	0.0	0.0	0.0
T013-B1BALCells-PBmiRNA_S4.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32678413.0	32678413.0	0.0	0.0	0.0	0.0	0.0	5916111.0	0.0	0.0	0.0
T013-B2BCGBAL-PBmiRNA_S7.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41871568.0	41871568.0	0.0	0.0	0.0	0.0	0.0	6394617.0	0.0	0.0	0.0
T013-B2PPDBAL-PBmiRNA_S6.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53098340.0	53098340.0	0.0	0.0	0.0	0.0	0.0	9966326.0	0.0	0.0	0.0
T013-B2SalBAL-PBmiRNA_S5.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33915072.0	33915072.0	0.0	0.0	0.0	0.0	0.0	9833003.0	0.0	0.0	0.0
T014-B1BALCells-PLmiRNA2_S28.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63137605.0	63137605.0	0.0	0.0	0.0	0.0	0.0	14790187.0	0.0	0.0	0.0
T014-B1BALRNA-PBmiRNA1_S27.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52027698.0	52027698.0	0.0	0.0	0.0	0.0	0.0	17709319.0	0.0	0.0	0.0
T014-B2BCGBAL-PBmiRNA1_S3.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55328152.0	55328152.0	0.0	0.0	0.0	0.0	0.0	19988565.0	0.0	0.0	0.0
T014-B2BCGBAL-PLmiRNA2_S4.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64339203.0	64339203.0	0.0	0.0	0.0	0.0	0.0	14300121.0	0.0	0.0	0.0
T014-B2PPDBAL-PBmiRNA1_S1.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48995259.0	48995259.0	0.0	0.0	0.0	0.0	0.0	14847959.0	0.0	0.0	0.0
T014-B2PPDBAL-PLmiRNA2_S2.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66110576.0	66110576.0	0.0	0.0	0.0	0.0	0.0	15391371.0	0.0	0.0	0.0
T014-B2SalBAL-PBmiRNA_S29.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52197141.0	52197141.0	0.0	0.0	0.0	0.0	0.0	13274296.0	0.0	0.0	0.0
T015-B1BALCells-PBmiRNA_S18.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47901611.0	47901611.0	0.0	0.0	0.0	0.0	0.0	9263598.0	0.0	0.0	0.0
T015-B2BCGBAL-PBmiRNA_S22.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42258066.0	42258066.0	0.0	0.0	0.0	0.0	0.0	8199492.0	0.0	0.0	0.0
T015-B2PPDBAL-PBmiRNA_S21.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67252596.0	67252596.0	0.0	0.0	0.0	0.0	0.0	21143394.0	0.0	0.0	0.0
T015-B2SalBAL-PBmiRNA1_S19.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25481388.0	25481388.0	0.0	0.0	0.0	0.0	0.0	5206774.0	0.0	0.0	0.0
T015-B2SalBAL-PLmiRNA2_S20.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54906851.0	54906851.0	0.0	0.0	0.0	0.0	0.0	19000942.0	0.0	0.0	0.0
T016-B1BALCells-PBmiRNA_S16.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37375426.0	37375426.0	0.0	0.0	0.0	0.0	0.0	8544597.0	0.0	0.0	0.0
T016-B2BCGBAL-PBmiRNA1_S17.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37539771.0	37539771.0	0.0	0.0	0.0	0.0	0.0	9059597.0	0.0	0.0	0.0
T016-B2BCGBAL-PBmiRNA2_S18.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30267383.0	30267383.0	0.0	0.0	0.0	0.0	0.0	4523609.0	0.0	0.0	0.0
T016-B2PPDBAL-PBmiRNA_S19.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41042837.0	41042837.0	0.0	0.0	0.0	0.0	0.0	8334284.0	0.0	0.0	0.0
T021-B1BALCells-PLmiRNA_S3.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22702095.0	22702095.0	0.0	0.0	0.0	0.0	0.0	4788598.0	0.0	0.0	0.0
T021-B2Sal2BAL-PLmiRNA_S20.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25459088.0	25459088.0	0.0	0.0	0.0	0.0	0.0	6494064.0	0.0	0.0	0.0
T021-B2Sal3BAL-PLmiRNA_S21.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29728769.0	29728769.0	0.0	0.0	0.0	0.0	0.0	10190640.0	0.0	0.0	0.0
T023-B1BALCells-PBmiRNA_S10.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41238242.0	41238242.0	0.0	0.0	0.0	0.0	0.0	7230789.0	0.0	0.0	0.0
T023-B2BCGBAL-PBmiRNA_S12.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27379385.0	27379385.0	0.0	0.0	0.0	0.0	0.0	6324130.0	0.0	0.0	0.0
T023-B2PPDBAL-PBmiRNA_S11.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24804450.0	24804450.0	0.0	0.0	0.0	0.0	0.0	3632587.0	0.0	0.0	0.0
T023-B2SalBAL-PBmiRNA_S8.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32459447.0	32459447.0	0.0	0.0	0.0	0.0	0.0	8181516.0	0.0	0.0	0.0
T025-B1BALRNA-PBmiRNA_S10.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34241423.0	34241423.0	0.0	0.0	0.0	0.0	0.0	6744440.0	0.0	0.0	0.0
T025-B2BCGBAL-PBmiRNA_S14.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41831170.0	41831170.0	0.0	0.0	0.0	0.0	0.0	11248568.0	0.0	0.0	0.0
T025-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56459265.0	56459265.0	0.0	0.0	0.0	0.0	0.0	14188467.0	0.0	0.0	0.0
T025-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65726999.0	65726999.0	0.0	0.0	0.0	0.0	0.0	13624597.0	0.0	0.0	0.0
T025-B2SalBAL-PBmiRNA_S11.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39724396.0	39724396.0	0.0	0.0	0.0	0.0	0.0	11911261.0	0.0	0.0	0.0
T026-B1BALCells-PBmiRNA_S13.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36489033.0	36489033.0	0.0	0.0	0.0	0.0	0.0	7538897.0	0.0	0.0	0.0
T026-B2BCGBAL-PBmiRNA_S17.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28839850.0	28839850.0	0.0	0.0	0.0	0.0	0.0	5214830.0	0.0	0.0	0.0
T026-B2PPDBAL-PBmiRNA1_S15.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36352992.0	36352992.0	0.0	0.0	0.0	0.0	0.0	7581872.0	0.0	0.0	0.0
T026-B2PPDBAL-PLmiRNA2_S16.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52283135.0	52283135.0	0.0	0.0	0.0	0.0	0.0	9575797.0	0.0	0.0	0.0
T026-B2SalBAL-PBmiRNA_S14.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28939233.0	28939233.0	0.0	0.0	0.0	0.0	0.0	5031385.0	0.0	0.0	0.0
T028-B1BAL-PBmiRNA_S23.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42772850.0	42772850.0	0.0	0.0	0.0	0.0	0.0	11531226.0	0.0	0.0	0.0
T028-B2BCGBAL-PBmiRNA_S26.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52454336.0	52454336.0	0.0	0.0	0.0	0.0	0.0	11219435.0	0.0	0.0	0.0
T028-B2PPDBAL-PBmiRNA_S25.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59067512.0	59067512.0	0.0	0.0	0.0	0.0	0.0	14220133.0	0.0	0.0	0.0
T028-B2SalBAL-PBmiRNA_S24.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45588766.0	45588766.0	0.0	0.0	0.0	0.0	0.0	10609209.0	0.0	0.0	0.0
T030-B1BALRNA-PBmiRNA_S5.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57032486.0	57032486.0	0.0	0.0	0.0	0.0	0.0	17817375.0	0.0	0.0	0.0
T031-B1BALRNA-PBmiRNA_S6.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38460532.0	38460532.0	0.0	0.0	0.0	0.0	0.0	8812722.0	0.0	0.0	0.0
T031-B2BCGBAL-PBmiRNA_S9.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50532073.0	50532073.0	0.0	0.0	0.0	0.0	0.0	15689607.0	0.0	0.0	0.0
T031-B2PPDBAL-PBmiRNA_S8.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50568767.0	50568767.0	0.0	0.0	0.0	0.0	0.0	9633239.0	0.0	0.0	0.0
T031-B2SalBAL-PBmiRNA_S7.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36911097.0	36911097.0	0.0	0.0	0.0	0.0	0.0	7305303.0	0.0	0.0	0.0
T032-B1BALRNA-PBmiRNA_S23.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43506346.0	43506346.0	0.0	0.0	0.0	0.0	0.0	13593754.0	0.0	0.0	0.0
T032-B2BCGBAL-PBmiRNA1_S28.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51480028.0	51480028.0	0.0	0.0	0.0	0.0	0.0	12168061.0	0.0	0.0	0.0
T032-B2BCGBAL-PLmiRNA2_S29.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43318968.0	43318968.0	0.0	0.0	0.0	0.0	0.0	6854140.0	0.0	0.0	0.0
T032-B2PPDBAL-PBmiRNA1_S25.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50171086.0	50171086.0	0.0	0.0	0.0	0.0	0.0	11632959.0	0.0	0.0	0.0
T032-B2PPDBAL-PLmiRNA2_S26.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37473330.0	37473330.0	0.0	0.0	0.0	0.0	0.0	9437004.0	0.0	0.0	0.0
T032-B2PPDBAL-PLmiRNA3_S27.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51288821.0	51288821.0	0.0	0.0	0.0	0.0	0.0	14739168.0	0.0	0.0	0.0
T032-B2SalBAL-PBmiRNA_S24.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52797596.0	52797596.0	0.0	0.0	0.0	0.0	0.0	15187770.0	0.0	0.0	0.0
T033-B1BALRNA-PBmiRNA1_S15.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44327947.0	44327947.0	0.0	0.0	0.0	0.0	0.0	12964146.0	0.0	0.0	0.0
T033-B1BALRNA-PLmiRNA2_S16.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42069285.0	42069285.0	0.0	0.0	0.0	0.0	0.0	9267574.0	0.0	0.0	0.0
T033-B2BCGBAL-PBmiRNA1_S20.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46768286.0	46768286.0	0.0	0.0	0.0	0.0	0.0	14569672.0	0.0	0.0	0.0
T033-B2BCGBAL-PLmiRNA2_S21.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45122332.0	45122332.0	0.0	0.0	0.0	0.0	0.0	7788790.0	0.0	0.0	0.0
T033-B2PPDBAL-PBmiRNA1_S18.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52619149.0	52619149.0	0.0	0.0	0.0	0.0	0.0	15259948.0	0.0	0.0	0.0
T033-B2PPDBAL-PLmiRNA2_S19.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71282584.0	71282584.0	0.0	0.0	0.0	0.0	0.0	12693802.0	0.0	0.0	0.0
T033-B2SalBAL-PBmiRNA_S17.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48895905.0	48895905.0	0.0	0.0	0.0	0.0	0.0	14037450.0	0.0	0.0	0.0
T034-B-SingleRNABAL-miRNA_S22.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41076144.0	41076144.0	0.0	0.0	0.0	0.0	0.0	9331649.0	0.0	0.0	0.0
T035-B1BALRNA-PBmiRNA_S6.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41573938.0	41573938.0	0.0	0.0	0.0	0.0	0.0	13610345.0	0.0	0.0	0.0
T035-B2BCGBAL-PBmiRNA_S3.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65919209.0	65919209.0	0.0	0.0	0.0	0.0	0.0	10262107.0	0.0	0.0	0.0
T035-B2PPDBAL-PBmiRNA_S2.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32043803.0	32043803.0	0.0	0.0	0.0	0.0	0.0	9321739.0	0.0	0.0	0.0
T035-B2SalBAL-PBmiRNA_S1.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31939440.0	31939440.0	0.0	0.0	0.0	0.0	0.0	6328160.0	0.0	0.0	0.0
T036-B1BALRNA-PBmiRNA_S7.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38339169.0	38339169.0	0.0	0.0	0.0	0.0	0.0	9844263.0	0.0	0.0	0.0
T036-B2S1BAL-PBmiRNA1_S1.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41249858.0	41249858.0	0.0	0.0	0.0	0.0	0.0	10573523.0	0.0	0.0	0.0
T036-B2S2BAL-PBmiRNA2_S8.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35361671.0	35361671.0	0.0	0.0	0.0	0.0	0.0	9957052.0	0.0	0.0	0.0
T036-B2S3BAL-PBmiRNA3_S9.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34911877.0	34911877.0	0.0	0.0	0.0	0.0	0.0	6084344.0	0.0	0.0	0.0
T038-B1BALRNA-PBmiRNA_S25.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36866168.0	36866168.0	0.0	0.0	0.0	0.0	0.0	10120051.0	0.0	0.0	0.0
T038-B2BCGBAL-PLmiRNA_S28.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32808005.0	32808005.0	0.0	0.0	0.0	0.0	0.0	12739505.0	0.0	0.0	0.0
T038-B2PPDBAL-PBmiRNA_S27.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35152093.0	35152093.0	0.0	0.0	0.0	0.0	0.0	7340814.0	0.0	0.0	0.0
T038-B2SalBAL-PBmiRNA_S26.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39148167.0	39148167.0	0.0	0.0	0.0	0.0	0.0	6768699.0	0.0	0.0	0.0
T039-B1BALRNA-PBmiRNA_S10.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34312782.0	34312782.0	0.0	0.0	0.0	0.0	0.0	8072669.0	0.0	0.0	0.0
T039-B2BCGBAL-PBmiRNA1_S14.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35255966.0	35255966.0	0.0	0.0	0.0	0.0	0.0	6869616.0	0.0	0.0	0.0
T039-B2BCGBAL-PLmiRNA2_S15.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48485876.0	48485876.0	0.0	0.0	0.0	0.0	0.0	7192758.0	0.0	0.0	0.0
T039-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45019820.0	45019820.0	0.0	0.0	0.0	0.0	0.0	9197968.0	0.0	0.0	0.0
T039-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59823683.0	59823683.0	0.0	0.0	0.0	0.0	0.0	8633371.0	0.0	0.0	0.0
T039-B2SalBAL-PBmiRNA_S11.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41638605.0	41638605.0	0.0	0.0	0.0	0.0	0.0	6878816.0	0.0	0.0	0.0
T041-B1BALRNA-PBmiRNA_S22.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36947912.0	36947912.0	0.0	0.0	0.0	0.0	0.0	6554998.0	0.0	0.0	0.0
T041-B2BCGBAL-PBmiRNA_S26.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36652055.0	36652055.0	0.0	0.0	0.0	0.0	0.0	11684268.0	0.0	0.0	0.0
T041-B2PPDBAL-PBmiRNA1_S24.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40453890.0	40453890.0	0.0	0.0	0.0	0.0	0.0	10494411.0	0.0	0.0	0.0
T041-B2PPDBAL-PLmiRNA2_S25.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55897092.0	55897092.0	0.0	0.0	0.0	0.0	0.0	7480435.0	0.0	0.0	0.0
T041-B2SalBAL-PBmiRNA_S23.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53163477.0	53163477.0	0.0	0.0	0.0	0.0	0.0	8486003.0	0.0	0.0	0.0
T042-B1BALRNA-PBmiRNA_S6.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44409955.0	44409955.0	0.0	0.0	0.0	0.0	0.0	15342400.0	0.0	0.0	0.0
