Sample	Ambiguous	Too Low aQual	Not Aligned	No Feature	Assigned	Alignment Not Unique
T009-B2BCGBAL-PBmiRNA_S7.Homo_sapiens.HTSeq	662721	0	0	11925103	10569353	12508530
T009-B2PPDBAL-PBmiRNA_S28.Homo_sapiens.HTSeq	783560	0	0	24193487	13617587	9933583
T009-B2SalBAL-PBmiRNA_S6.Homo_sapiens.HTSeq	669692	0	0	10428853	8670294	11534807
T010-B1BALRNA-PBmiRNA_S9.Homo_sapiens.HTSeq	493489	0	0	16409240	9065490	7955720
T011-B1BALCells-PBmiRNA_S4.Homo_sapiens.HTSeq	992671	0	0	8308914	11039842	17765385
T011-B2BCGBAL-PBmiRNA_S22.Homo_sapiens.HTSeq	607808	0	0	12135334	10297947	8756369
T011-B2BCGBAL-PBmiRNA_S5.Homo_sapiens.HTSeq	370791	0	0	11658577	7856597	9154737
T011-B2PPDBAL-PBmiRNA1_S23.Homo_sapiens.HTSeq	1216921	0	0	14892353	14028587	14307529
T011-B2PPDBAL-PLmiRNA2_S24.Homo_sapiens.HTSeq	389038	0	0	16361945	6894054	7356106
T012-BALRNA-PBmiRNA_S8.Homo_sapiens.HTSeq	665963	0	0	18793396	11527347	9216049
T013-B1BALCells-PBmiRNA_S4.Homo_sapiens.HTSeq	500056	0	0	15424941	8353288	8400128
T013-B2BCGBAL-PBmiRNA_S7.Homo_sapiens.HTSeq	675992	0	0	20228666	11878366	9088544
T013-B2PPDBAL-PBmiRNA_S6.Homo_sapiens.HTSeq	696051	0	0	30436220	7988572	13977497
T013-B2SalBAL-PBmiRNA_S5.Homo_sapiens.HTSeq	867587	0	0	9574534	9649102	13823849
T014-B1BALCells-PLmiRNA2_S28.Homo_sapiens.HTSeq	739094	0	0	28901712	13051232	20445567
T014-B1BALRNA-PBmiRNA1_S27.Homo_sapiens.HTSeq	1344561	0	0	9307820	17162765	24212552
T014-B2BCGBAL-PBmiRNA1_S3.Homo_sapiens.HTSeq	1142220	0	0	12508202	14580391	27097339
T014-B2BCGBAL-PLmiRNA2_S4.Homo_sapiens.HTSeq	638449	0	0	32460308	11624192	19616254
T014-B2PPDBAL-PBmiRNA1_S1.Homo_sapiens.HTSeq	1264336	0	0	11813241	15713295	20204387
T014-B2PPDBAL-PLmiRNA2_S2.Homo_sapiens.HTSeq	924150	0	0	31482684	12689528	21014214
T014-B2SalBAL-PBmiRNA_S29.Homo_sapiens.HTSeq	725340	0	0	22326847	11056163	18088791
T015-B1BALCells-PBmiRNA_S18.Homo_sapiens.HTSeq	834269	0	0	20750962	13362068	12954312
T015-B2BCGBAL-PBmiRNA_S22.Homo_sapiens.HTSeq	543817	0	0	19760926	10662600	11290723
T015-B2PPDBAL-PBmiRNA_S21.Homo_sapiens.HTSeq	1364217	0	0	21286033	16243144	28359202
T015-B2SalBAL-PBmiRNA1_S19.Homo_sapiens.HTSeq	650759	0	0	6971608	10337630	7521391
T015-B2SalBAL-PLmiRNA2_S20.Homo_sapiens.HTSeq	1804187	0	0	8268155	18677991	26156518
T016-B1BALCells-PBmiRNA_S16.Homo_sapiens.HTSeq	782206	0	0	13516939	11036306	12039975
T016-B2BCGBAL-PBmiRNA1_S17.Homo_sapiens.HTSeq	923271	0	0	11410108	12320128	12886264
T016-B2BCGBAL-PBmiRNA2_S18.Homo_sapiens.HTSeq	494483	0	0	13706473	9468709	6597718
T016-B2PPDBAL-PBmiRNA_S19.Homo_sapiens.HTSeq	852856	0	0	16257358	12147990	11784633
T021-B1BALCells-PLmiRNA_S3.Homo_sapiens.HTSeq	364384	0	0	9220639	6334150	6782922
T021-B2Sal2BAL-PLmiRNA_S20.Homo_sapiens.HTSeq	589576	0	0	6706230	8662946	9500336
T021-B2Sal3BAL-PLmiRNA_S21.Homo_sapiens.HTSeq	1024901	0	0	3754901	10605220	14343747
T023-B1BALCells-PBmiRNA_S10.Homo_sapiens.HTSeq	723791	0	0	18654668	11636284	10223499
T023-B2BCGBAL-PBmiRNA_S12.Homo_sapiens.HTSeq	627222	0	0	7534611	9936418	9281134
T023-B2PPDBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	402328	0	0	10896438	8197484	5308200
T023-B2SalBAL-PBmiRNA_S8.Homo_sapiens.HTSeq	789128	0	0	8654789	11102945	11912585
T025-B1BALRNA-PBmiRNA_S10.Homo_sapiens.HTSeq	703430	0	0	13071245	11063873	9402875
T025-B2BCGBAL-PBmiRNA_S14.Homo_sapiens.HTSeq	1005837	0	0	11798309	13466055	15560969
T025-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens.HTSeq	1163004	0	0	21883328	14082667	19330266
T025-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens.HTSeq	869162	0	0	32964734	13155979	18737124
T025-B2SalBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	1020606	0	0	10835210	11635607	16232973
T026-B1BALCells-PBmiRNA_S13.Homo_sapiens.HTSeq	782394	0	0	14226142	10781961	10698536
T026-B2BCGBAL-PBmiRNA_S17.Homo_sapiens.HTSeq	784014	0	0	9529938	10981060	7544838
T026-B2PPDBAL-PBmiRNA1_S15.Homo_sapiens.HTSeq	1002988	0	0	13041708	11527119	10781177
T026-B2PPDBAL-PLmiRNA2_S16.Homo_sapiens.HTSeq	682653	0	0	30274720	7966809	13358953
T026-B2SalBAL-PBmiRNA_S14.Homo_sapiens.HTSeq	430576	0	0	13210621	8132570	7165466
T028-B1BAL-PBmiRNA_S23.Homo_sapiens.HTSeq	804994	0	0	11470666	14573939	15923251
T028-B2BCGBAL-PBmiRNA_S26.Homo_sapiens.HTSeq	673088	0	0	23114869	13242138	15424241
T028-B2PPDBAL-PBmiRNA_S25.Homo_sapiens.HTSeq	1061682	0	0	21253755	17380540	19371535
T028-B2SalBAL-PBmiRNA_S24.Homo_sapiens.HTSeq	1020277	0	0	11915784	17725389	14927316
T030-B1BALRNA-PBmiRNA_S5.Homo_sapiens.HTSeq	1110389	0	0	15070972	16731329	24119796
T031-B1BALRNA-PBmiRNA_S6.Homo_sapiens.HTSeq	571274	0	0	16386786	9248984	12253488
T031-B2BCGBAL-PBmiRNA_S9.Homo_sapiens.HTSeq	1080377	0	0	13358096	14950993	21142607
T031-B2PPDBAL-PBmiRNA_S8.Homo_sapiens.HTSeq	761445	0	0	22129283	14329189	13348850
T031-B2SalBAL-PBmiRNA_S7.Homo_sapiens.HTSeq	478346	0	0	17471760	8921753	10039238
T032-B1BALRNA-PBmiRNA_S23.Homo_sapiens.HTSeq	953616	0	0	11445718	12632411	18474601
T032-B2BCGBAL-PBmiRNA1_S28.Homo_sapiens.HTSeq	1113488	0	0	14916841	18635122	16814577
T032-B2BCGBAL-PLmiRNA2_S29.Homo_sapiens.HTSeq	559609	0	0	22097882	10936877	9724600
T032-B2PPDBAL-PBmiRNA1_S25.Homo_sapiens.HTSeq	1082548	0	0	15014515	18134956	15939067
T032-B2PPDBAL-PLmiRNA2_S26.Homo_sapiens.HTSeq	701311	0	0	12777613	10893573	13100833
T032-B2PPDBAL-PLmiRNA3_S27.Homo_sapiens.HTSeq	1400088	0	0	10589070	19149747	20149916
T032-B2SalBAL-PBmiRNA_S24.Homo_sapiens.HTSeq	1059663	0	0	15892859	15289239	20555835
T033-B1BALRNA-PBmiRNA1_S15.Homo_sapiens.HTSeq	1174802	0	0	10575032	14732604	17845509
T033-B1BALRNA-PLmiRNA2_S16.Homo_sapiens.HTSeq	814269	0	0	14504358	13919117	12831541
T033-B2BCGBAL-PBmiRNA1_S20.Homo_sapiens.HTSeq	1282095	0	0	11735530	14030203	19720458
T033-B2BCGBAL-PLmiRNA2_S21.Homo_sapiens.HTSeq	694154	0	0	22238203	11184772	11005203
T033-B2PPDBAL-PBmiRNA1_S18.Homo_sapiens.HTSeq	1198433	0	0	16283947	14647012	20489757
T033-B2PPDBAL-PLmiRNA2_S19.Homo_sapiens.HTSeq	641185	0	0	43963964	9200467	17476968
T033-B2SalBAL-PBmiRNA_S17.Homo_sapiens.HTSeq	1338562	0	0	9626142	18672279	19258922
T034-B-SingleRNABAL-miRNA_S22.Homo_sapiens.HTSeq	764265	0	0	14695311	12868159	12748409
T035-B1BALRNA-PBmiRNA_S6.Homo_sapiens.HTSeq	751943	0	0	11953063	9992694	18876238
T035-B2BCGBAL-PBmiRNA_S3.Homo_sapiens.HTSeq	413107	0	0	41725026	9434553	14346523
T035-B2PPDBAL-PBmiRNA_S2.Homo_sapiens.HTSeq	885909	0	0	6452060	11547082	13158752
T035-B2SalBAL-PBmiRNA_S1.Homo_sapiens.HTSeq	392252	0	0	14280172	8169245	9097771
T036-B1BALRNA-PBmiRNA_S7.Homo_sapiens.HTSeq	1031896	0	0	9253181	14341378	13712714
T036-B2S1BAL-PBmiRNA1_S1.Homo_sapiens.HTSeq	1104741	0	0	10023722	15101103	15020292
T036-B2S2BAL-PBmiRNA2_S8.Homo_sapiens.HTSeq	650534	0	0	10549553	10185499	13976085
T036-B2S3BAL-PBmiRNA3_S9.Homo_sapiens.HTSeq	504491	0	0	16203853	9697647	8505886
T038-B1BALRNA-PBmiRNA_S25.Homo_sapiens.HTSeq	839337	0	0	9831161	12231637	13964033
T038-B2BCGBAL-PLmiRNA_S28.Homo_sapiens.HTSeq	1080911	0	0	4043907	10298688	17384499
T038-B2PPDBAL-PBmiRNA_S27.Homo_sapiens.HTSeq	554168	0	0	15146668	9413237	10038020
T038-B2SalBAL-PBmiRNA_S26.Homo_sapiens.HTSeq	237534	0	0	24952166	4531775	9426692
T039-B1BALRNA-PBmiRNA_S10.Homo_sapiens.HTSeq	666894	0	0	11850364	10645715	11149809
T039-B2BCGBAL-PBmiRNA1_S14.Homo_sapiens.HTSeq	862905	0	0	11014969	13782319	9595773
T039-B2BCGBAL-PLmiRNA2_S15.Homo_sapiens.HTSeq	316962	0	0	31151741	6955250	10061923
T039-B2PPDBAL-PBmiRNA1_S12.Homo_sapiens.HTSeq	898547	0	0	18704291	12658801	12758181
T039-B2PPDBAL-PLmiRNA2_S13.Homo_sapiens.HTSeq	486785	0	0	39987668	7323342	12025888
T039-B2SalBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	692043	0	0	18884266	12400315	9661981
T041-B1BALRNA-PBmiRNA_S22.Homo_sapiens.HTSeq	527660	0	0	17146508	10096993	9176751
T041-B2BCGBAL-PBmiRNA_S26.Homo_sapiens.HTSeq	1196073	0	0	9110068	10247427	16098487
T041-B2PPDBAL-PBmiRNA1_S24.Homo_sapiens.HTSeq	897308	0	0	15592939	9687714	14275929
T041-B2PPDBAL-PLmiRNA2_S25.Homo_sapiens.HTSeq	458258	0	0	37593495	7371349	10473990
T041-B2SalBAL-PBmiRNA_S23.Homo_sapiens.HTSeq	448388	0	0	32758137	8064508	11892444
T042-B1BALRNA-PBmiRNA_S6.Homo_sapiens.HTSeq	1235317	0	0	11190327	11336059	20648252
T042-B2BCGBAL-PBmiRNA_S11.Homo_sapiens.HTSeq	814862	0	0	27351319	13284989	13261559
T042-B2PPDBAL-PBmiRNA1_S9.Homo_sapiens.HTSeq	615062	0	0	21161841	8468565	11082822
T042-B2PPDBAL-PLmiRNA2_S10.Homo_sapiens.HTSeq	334993	0	0	25573492	5886345	9063463
T042-B2SalBAL-PBmiRNA1_S7.Homo_sapiens.HTSeq	636489	0	0	24221715	10900495	10388653
T042-B2SalBAL-PLmiRNA2_S8.Homo_sapiens.HTSeq	529799	0	0	19218745	9116805	10748071
T045-B1BALRNA-PBmiRNA_S16.Homo_sapiens.HTSeq	483089	0	0	14869843	9314048	9011668
T046-B1BALRNA-PBmiRNA_S17.Homo_sapiens.HTSeq	1003186	0	0	8620901	12285063	15897996
T047-B1BALRNA-PBmiRNA_S18.Homo_sapiens.HTSeq	714346	0	0	9758736	9469650	13024557
T047-B2BCGBAL-PBmiRNA_S21.Homo_sapiens.HTSeq	337525	0	0	13111909	7112630	7926115
T047-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens.HTSeq	682270	0	0	14372391	9354437	12356657
T047-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens.HTSeq	420254	0	0	21844406	6955286	9797558
T047-B2SalBAL-PBmiRNA1_S3.Homo_sapiens.HTSeq	1342292	0	0	6665653	11668114	21673317
T047-B2SalBAL-PLmiRNA2_S4.Homo_sapiens.HTSeq	1296916	0	0	7015609	9897272	26899175
T048-B1BALRNA-PBmiRNA_S22.Homo_sapiens.HTSeq	780239	0	0	12328458	12319211	11651899
T048-B2BCGBAL-PBmiRNA_S24.Homo_sapiens.HTSeq	839269	0	0	20862690	13970879	15909854
T048-B2PPDBAL-PBmiRNA_S23.Homo_sapiens.HTSeq	711783	0	0	18947808	11213560	11153221
T048-B2SalBAL-PBmiRNA_S5.Homo_sapiens.HTSeq	840322	0	0	12005160	9848833	18465649
T049-B1BALRNA-PBmiRNA_S2.Homo_sapiens.HTSeq	848272	0	0	6383275	9657221	22544419
T050-B1BALRNA-PBmiRNA1_S27.Homo_sapiens.HTSeq	846176	0	0	22392844	15005517	10827644
T050-B1BALRNA-PLmiRNA2_S28.Homo_sapiens.HTSeq	374283	0	0	20816433	9884356	7119689
T051-B1BALRNA-PBmiRNA_S12.Homo_sapiens.HTSeq	1316197	0	0	14524669	12809800	24909756
T051-B2BCGBAL-PBmiRNA_S16.Homo_sapiens.HTSeq	622950	0	0	20306913	11202401	9476877
T051-B2PPDBAL-PBmiRNA1_S14.Homo_sapiens.HTSeq	816342	0	0	20108549	11738630	13116462
T051-B2PPDBAL-PLmiRNA2_S15.Homo_sapiens.HTSeq	529851	0	0	29774990	9470002	11658167
T051-B2SalBAL-PBmiRNA_S13.Homo_sapiens.HTSeq	655624	0	0	20470749	13727549	8795637
T052-BALRNA-PBmiRNA1_S4.Homo_sapiens.HTSeq	985556	0	0	23987942	11977321	17252917
T052-BALRNA-PLmiRNA2_S5.Homo_sapiens.HTSeq	420372	0	0	29192945	5917357	12820957
T053-B1BALRNA-PBmiRNA_S29.Homo_sapiens.HTSeq	526988	0	0	17726258	8784964	10072802
T054-B1BALRNA-PBmiRNA_S17.Homo_sapiens.HTSeq	702559	0	0	21362712	12756587	12188440
T054-B2BCGBAL-PBmiRNA_S21.Homo_sapiens.HTSeq	847255	0	0	19738641	13100448	11657316
T054-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens.HTSeq	643126	0	0	25409376	10448564	11331339
T054-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens.HTSeq	766136	0	0	21438989	13082245	10323446
T054-B2SalBAL-PBmiRNA_S18.Homo_sapiens.HTSeq	399622	0	0	19394917	8091891	8218087
