Sample	Top over-represented sequence	Sum of remaining over-represented sequences
T032-B2BCGBAL-PBmiRNA1_S28_R1_001	0.411457328142	1.93039740945
T032-B2BCGBAL-PLmiRNA2_S29_R1_001	0.211577849461	0.376335832916
T032-B2PPDBAL-PBmiRNA1_S25_R1_001	0.455343235034	1.76614508708
T032-B2PPDBAL-PLmiRNA2_S26_R1_001	0.405701627127	1.57324255993
T032-B2PPDBAL-PLmiRNA3_S27_R1_001	0.699145440469	3.93961450178
T032-B2SalBAL-PBmiRNA_S24_R1_001	0.406788386108	2.76919255423
T033-B1BALRNA-PBmiRNA1_S15_R1_001	0.520985573409	3.87793144121
T033-B1BALRNA-PLmiRNA2_S16_R1_001	0.270535729471	1.52940470191
T033-B2BCGBAL-PBmiRNA1_S20_R1_001	0.6433655065	4.32875179196
T033-B2BCGBAL-PLmiRNA2_S21_R1_001	0.231114716806	0.591875026785
T033-B2PPDBAL-PBmiRNA1_S18_R1_001	0.611753451824	3.40642708913
T033-B2PPDBAL-PLmiRNA2_S19_R1_001	0.215494353068	0.330750704434
T033-B2SalBAL-PBmiRNA_S17_R1_001	0.593220343523	3.47323310713
T034-B-SingleRNABAL-miRNA_S22_R1_001	0.300671427837	1.47285688865
T035-B1BALRNA-PBmiRNA_S6_R1_001	0.585852184011	3.10285524207
T035-B2BCGBAL-PBmiRNA_S3_R1_001	0	0
T035-B2PPDBAL-PBmiRNA_S2_R1_001	0.48912343466	3.70197093934
T035-B2SalBAL-PBmiRNA_S1_R1_001	0.208482811634	0.50631113465
T036-B1BALRNA-PBmiRNA_S7_R1_001	0.515065424673	3.10235593993
T036-B2S1BAL-PBmiRNA1_S1_R1_001	0.584435492099	3.40201112062
T036-B2S2BAL-PBmiRNA2_S8_R1_001	0.502270283976	2.18505371782
T036-B2S3BAL-PBmiRNA3_S9_R1_001	0.205211234164	0.56593627494
T038-B1BALRNA-PBmiRNA_S25_R1_001	0.407915476226	2.95482228654
T038-B2BCGBAL-PLmiRNA_S28_R1_001	1.14787162518	8.92214226515
T038-B2PPDBAL-PBmiRNA_S27_R1_001	0.239330357381	1.36189172283
T038-B2SalBAL-PBmiRNA_S26_R1_001	0	0
T039-B1BALRNA-PBmiRNA_S10_R1_001	0.339274379503	2.33403369725
T039-B2BCGBAL-PBmiRNA1_S14_R1_001	0.483071284785	2.04244029038
T039-B2BCGBAL-PLmiRNA2_S15_R1_001	0.112572666956	0.0
T039-B2PPDBAL-PBmiRNA1_S12_R1_001	0.478696848521	1.95963875771
T039-B2PPDBAL-PLmiRNA2_S13_R1_001	0.187055350713	0.29978581569
T039-B2SalBAL-PBmiRNA_S11_R1_001	0.44136606547	0.725475746683
T041-B1BALRNA-PBmiRNA_S22_R1_001	0.253683454947	0.779579359449
T041-B2BCGBAL-PBmiRNA_S26_R1_001	0.971263737028	6.82287632034
T041-B2PPDBAL-PBmiRNA1_S24_R1_001	0.496356831543	2.79659796385
T041-B2PPDBAL-PLmiRNA2_S25_R1_001	0.210822230491	0.0
T041-B2SalBAL-PBmiRNA_S23_R1_001	0.182073231516	0.1267842718
T042-B1BALRNA-PBmiRNA_S6_R1_001	0.855372843984	6.74506600179
T042-B2BCGBAL-PBmiRNA_S11_R1_001	0.293501448448	0.575216663455
T042-B2PPDBAL-PBmiRNA1_S9_R1_001	0.384093089952	1.27292509192
T042-B2PPDBAL-PLmiRNA2_S10_R1_001	0.134772739479	0.235121915134
T042-B2SalBAL-PBmiRNA1_S7_R1_001	0.242003143105	0.466411545842
T042-B2SalBAL-PLmiRNA2_S8_R1_001	0.189679544275	0.835446666291
T045-B1BALRNA-PBmiRNA_S16_R1_001	0.296258844014	0.851844205215
T046-B1BALRNA-PBmiRNA_S17_R1_001	0.513099508366	4.26987469985
T047-B1BALRNA-PBmiRNA_S18_R1_001	0.393291464532	3.27126513544
T047-B2BCGBAL-PBmiRNA_S21_R1_001	0.184261692773	0.490351342369
T047-B2PPDBAL-PBmiRNA1_S19_R1_001	0.476543869966	2.84501124775
T047-B2PPDBAL-PLmiRNA2_S20_R1_001	0.257397804794	0.416669782959
T047-B2SalBAL-PBmiRNA1_S3_R1_001	0.821492582489	7.5617222021
T047-B2SalBAL-PLmiRNA2_S4_R1_001	0.798284483401	7.16313277133
T048-B1BALRNA-PBmiRNA_S22_R1_001	0.396071141802	2.01575152106
T048-B2BCGBAL-PBmiRNA_S24_R1_001	0.299974148272	1.73002930235
T048-B2PPDBAL-PBmiRNA_S23_R1_001	0.364003392494	1.1203242502
T048-B2SalBAL-PBmiRNA_S5_R1_001	0.539820784522	3.4566553466
T049-B1BALRNA-PBmiRNA_S2_R1_001	0.482920036227	4.7081964484
T050-B1BALRNA-PBmiRNA1_S27_R1_001	0.542199479333	0.600624116475
T050-B1BALRNA-PLmiRNA2_S28_R1_001	0.247834021594	0.2018006762
T051-B1BALRNA-PBmiRNA_S12_R1_001	1.03341360198	6.1304198056
T051-B2BCGBAL-PBmiRNA_S16_R1_001	0.277443577455	0.476082301607
T051-B2PPDBAL-PBmiRNA1_S14_R1_001	0.382825461251	1.72329344611
T051-B2PPDBAL-PLmiRNA2_S15_R1_001	0.247276672901	0.316361467242
T051-B2SalBAL-PBmiRNA_S13_R1_001	0.163489576753	0.299903648277
T052-BALRNA-PBmiRNA1_S4_R1_001	0.398152558659	1.62550047497
T052-BALRNA-PLmiRNA2_S5_R1_001	0.215818601241	0.795222111422
T053-B1BALRNA-PBmiRNA_S29_R1_001	0.255871998747	1.12822922328
T054-B1BALRNA-PBmiRNA_S17_R1_001	0.281751195841	0.600340276183
T054-B2BCGBAL-PBmiRNA_S21_R1_001	0.274761536955	0.89217906139
T054-B2PPDBAL-PBmiRNA1_S19_R1_001	0.293291573799	0.571275568263
T054-B2PPDBAL-PLmiRNA2_S20_R1_001	0.236532520931	0.618340620965
T054-B2SalBAL-PBmiRNA_S18_R1_001	0.130716925268	0.204666504672
